Mhairi	// User ID
15-7-2024	// Evaluation date
P2_CP	10-7-2024	11:43:40:894	// Source file name and timestamp
100.000	// Sampling rate
105.028	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.060867	0.241033	-0.073400	-0.965821	0.038916	-0.248212	0.026179	0.967570	0.958949	-0.153540	0.232910	0.050936	
1	0.060860	0.241124	-0.073195	-0.965815	0.038851	-0.248046	0.026178	0.967615	0.958978	-0.153467	0.232803	0.051112	
2	0.060851	0.241256	-0.073014	-0.965796	0.038789	-0.247871	0.026179	0.967662	0.959005	-0.153384	0.232709	0.051285	
3	0.060836	0.241434	-0.072851	-0.965765	0.038726	-0.247695	0.026182	0.967710	0.959028	-0.153310	0.232624	0.051454	
4	0.060820	0.241657	-0.072727	-0.965719	0.038661	-0.247527	0.026177	0.967755	0.959048	-0.153235	0.232558	0.051601	
5	0.060802	0.241919	-0.072638	-0.965661	0.038591	-0.247374	0.026162	0.967798	0.959063	-0.153173	0.232509	0.051722	
6	0.060782	0.242214	-0.072589	-0.965592	0.038516	-0.247238	0.026136	0.967836	0.959072	-0.153129	0.232482	0.051808	
7	0.060762	0.242528	-0.072590	-0.965515	0.038434	-0.247125	0.026092	0.967869	0.959075	-0.153099	0.232483	0.051846	
8	0.060738	0.242849	-0.072626	-0.965433	0.038346	-0.247031	0.026037	0.967898	0.959068	-0.153101	0.232509	0.051840	
9	0.060715	0.243160	-0.072708	-0.965350	0.038254	-0.246956	0.025965	0.967923	0.959054	-0.153124	0.232567	0.051780	
10	0.060687	0.243447	-0.072822	-0.965271	0.038158	-0.246893	0.025883	0.967945	0.959030	-0.153178	0.232654	0.051671	
11	0.060655	0.243692	-0.072962	-0.965200	0.038060	-0.246835	0.025795	0.967966	0.958997	-0.153261	0.232770	0.051518	
12	0.060621	0.243882	-0.073127	-0.965142	0.037965	-0.246775	0.025701	0.967988	0.958956	-0.153361	0.232917	0.051323	
13	0.060579	0.244004	-0.073294	-0.965101	0.037875	-0.246703	0.025614	0.968012	0.958906	-0.153490	0.233086	0.051106	
