Mhairi	// User ID
15-5-2024	// Evaluation date
P4_ROM	14-5-2024	17:40:17:325	// Source file name and timestamp
100.000	// Sampling rate
58.410	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.122488	0.005348	-0.142271	-0.982205	0.027777	0.332663	-0.056449	-0.940945	0.946886	-0.162793	0.265436	0.080308	
1	0.121963	0.005989	-0.143161	-0.982138	0.028060	0.332714	-0.057234	-0.940871	0.946886	-0.162993	0.265330	0.080244	
2	0.121363	0.006740	-0.143986	-0.982086	0.028385	0.332975	-0.058036	-0.940720	0.946875	-0.163240	0.265227	0.080217	
3	0.120706	0.007604	-0.144816	-0.982039	0.028736	0.333434	-0.058854	-0.940496	0.946855	-0.163527	0.265122	0.080217	
4	0.120002	0.008539	-0.145561	-0.982007	0.029096	0.334079	-0.059670	-0.940204	0.946821	-0.163866	0.265021	0.080264	
5	0.119260	0.009521	-0.146221	-0.981991	0.029447	0.334880	-0.060475	-0.939857	0.946773	-0.164255	0.264922	0.080358	
6	0.118484	0.010521	-0.146810	-0.981986	0.029774	0.335800	-0.061261	-0.939467	0.946713	-0.164689	0.264826	0.080494	
7	0.117675	0.011488	-0.147237	-0.982009	0.030064	0.336803	-0.062007	-0.939050	0.946637	-0.165177	0.264736	0.080687	
8	0.116826	0.012407	-0.147578	-0.982048	0.030307	0.337837	-0.062713	-0.938624	0.946549	-0.165703	0.264650	0.080918	
9	0.115932	0.013230	-0.147758	-0.982116	0.030498	0.338864	-0.063361	-0.938204	0.946448	-0.166271	0.264572	0.081195	
10	0.114981	0.013937	-0.147798	-0.982212	0.030636	0.339840	-0.063947	-0.937807	0.946335	-0.166873	0.264502	0.081506	
11	0.113963	0.014513	-0.147734	-0.982332	0.030725	0.340728	-0.064469	-0.937446	0.946212	-0.167497	0.264441	0.081840	
12	0.112867	0.014931	-0.147501	-0.982487	0.030774	0.341505	-0.064915	-0.937130	0.946078	-0.168147	0.264397	0.082199	
13	0.111686	0.015205	-0.147200	-0.982663	0.030793	0.342148	-0.065296	-0.936869	0.945939	-0.168803	0.264365	0.082559	
14	0.110413	0.015325	-0.146781	-0.982868	0.030795	0.342653	-0.065606	-0.936662	0.945792	-0.169464	0.264354	0.082922	
15	0.109049	0.015306	-0.146284	-0.983095	0.030794	0.343022	-0.065852	-0.936510	0.945641	-0.170120	0.264363	0.083276	
16	0.107599	0.015174	-0.145759	-0.983334	0.030803	0.343265	-0.066044	-0.936407	0.945488	-0.170758	0.264393	0.083608	
17	0.106072	0.014934	-0.145151	-0.983594	0.030834	0.343405	-0.066181	-0.936345	0.945332	-0.171378	0.264449	0.083925	
18	0.104485	0.014631	-0.144564	-0.983855	0.030895	0.343464	-0.066280	-0.936315	0.945179	-0.171963	0.264527	0.084207	
19	0.102861	0.014276	-0.143944	-0.984122	0.030993	0.343475	-0.066341	-0.936303	0.945028	-0.172513	0.264628	0.084464	
20	0.101224	0.013899	-0.143324	-0.984387	0.031129	0.343468	-0.066375	-0.936298	0.944880	-0.173020	0.264751	0.084692	
21	0.099604	0.013528	-0.142742	-0.984642	0.031301	0.343470	-0.066392	-0.936291	0.944740	-0.173475	0.264890	0.084885	
22	0.098032	0.013169	-0.142127	-0.984894	0.031504	0.343513	-0.066387	-0.936269	0.944606	-0.173884	0.265046	0.085061	
23	0.096538	0.012850	-0.141568	-0.985126	0.031728	0.343609	-0.066375	-0.936227	0.944482	-0.174235	0.265209	0.085207	
24	0.095152	0.012570	-0.140995	-0.985347	0.031964	0.343780	-0.066348	-0.936158	0.944366	-0.174536	0.265379	0.085342	
