Mhairi	// User ID
21-5-2024	// Evaluation date
P5_ADL	20-5-2024	13:34:53:708	// Source file name and timestamp
100.000	// Sampling rate
274.856	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.045920	0.218155	-0.043188	-0.973876	0.010817	-0.260678	-0.005121	0.965352	0.918828	-0.260027	0.268423	0.126847	
1	0.045804	0.218184	-0.043434	-0.973864	0.011038	-0.260928	-0.004908	0.965283	0.918730	-0.260216	0.268652	0.126682	
2	0.045645	0.218170	-0.043676	-0.973864	0.011248	-0.261222	-0.004698	0.965202	0.918637	-0.260408	0.268868	0.126504	
3	0.045447	0.218121	-0.043893	-0.973874	0.011447	-0.261549	-0.004491	0.965112	0.918551	-0.260592	0.269079	0.126302	
4	0.045188	0.218028	-0.044125	-0.973897	0.011634	-0.261904	-0.004291	0.965014	0.918465	-0.260787	0.269284	0.126091	
5	0.044893	0.217924	-0.044320	-0.973925	0.011811	-0.262275	-0.004096	0.964912	0.918387	-0.260966	0.269490	0.125850	
6	0.044546	0.217809	-0.044513	-0.973958	0.011980	-0.262655	-0.003909	0.964808	0.918311	-0.261143	0.269694	0.125595	
7	0.044158	0.217708	-0.044691	-0.973990	0.012143	-0.263036	-0.003734	0.964702	0.918242	-0.261309	0.269897	0.125321	
8	0.043744	0.217648	-0.044834	-0.974015	0.012305	-0.263410	-0.003571	0.964599	0.918183	-0.261450	0.270098	0.125022	
9	0.043292	0.217630	-0.044983	-0.974033	0.012467	-0.263773	-0.003426	0.964498	0.918130	-0.261583	0.270291	0.124715	
10	0.042835	0.217687	-0.045085	-0.974035	0.012637	-0.264115	-0.003299	0.964403	0.918093	-0.261679	0.270478	0.124386	
11	0.042363	0.217816	-0.045181	-0.974023	0.012816	-0.264434	-0.003196	0.964313	0.918067	-0.261752	0.270649	0.124049	
12	0.041890	0.218027	-0.045256	-0.973993	0.013009	-0.264726	-0.003118	0.964231	0.918057	-0.261792	0.270803	0.123705	
