Mhairi	// User ID
4-6-2024	// Evaluation date
P9_JA_Fast	31-5-2024	14:04:58:398	// Source file name and timestamp
100.000	// Sampling rate
73.395	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.077718	0.230970	-0.111105	-0.963467	0.027516	0.189083	-0.015490	-0.981453	0.883973	-0.289112	0.341558	0.135442	
1	0.077640	0.230625	-0.111236	-0.963541	0.027378	0.189109	-0.015527	-0.981452	0.884021	-0.289103	0.341517	0.135253	
2	0.077574	0.230265	-0.111343	-0.963620	0.027234	0.189134	-0.015561	-0.981450	0.884038	-0.289124	0.341521	0.135084	
3	0.077464	0.229879	-0.111457	-0.963708	0.027088	0.189158	-0.015586	-0.981449	0.884031	-0.289176	0.341556	0.134932	
4	0.077347	0.229480	-0.111559	-0.963800	0.026941	0.189181	-0.015609	-0.981448	0.883993	-0.289263	0.341631	0.134803	
5	0.077224	0.229073	-0.111651	-0.963896	0.026797	0.189205	-0.015630	-0.981448	0.883925	-0.289385	0.341743	0.134698	
6	0.077063	0.228653	-0.111751	-0.963997	0.026655	0.189228	-0.015646	-0.981447	0.883837	-0.289537	0.341877	0.134611	
7	0.076926	0.228239	-0.111828	-0.964097	0.026520	0.189252	-0.015666	-0.981445	0.883725	-0.289716	0.342042	0.134546	
8	0.076757	0.227822	-0.111911	-0.964200	0.026391	0.189278	-0.015680	-0.981444	0.883603	-0.289912	0.342212	0.134493	
9	0.076594	0.227415	-0.111980	-0.964301	0.026268	0.189307	-0.015695	-0.981441	0.883474	-0.290117	0.342387	0.134450	
10	0.076442	0.227023	-0.112030	-0.964399	0.026152	0.189341	-0.015709	-0.981437	0.883346	-0.290323	0.342557	0.134413	
11	0.076266	0.226643	-0.112081	-0.964497	0.026041	0.189379	-0.015716	-0.981433	0.883233	-0.290517	0.342701	0.134372	
12	0.076127	0.226292	-0.112094	-0.964589	0.025936	0.189426	-0.015723	-0.981426	0.883132	-0.290694	0.342828	0.134327	
13	0.075967	0.225961	-0.112101	-0.964678	0.025835	0.189481	-0.015722	-0.981419	0.883059	-0.290842	0.342914	0.134269	
14	0.075823	0.225663	-0.112077	-0.964762	0.025735	0.189548	-0.015715	-0.981408	0.883013	-0.290957	0.342963	0.134198	
15	0.075695	0.225399	-0.112020	-0.964840	0.025636	0.189627	-0.015703	-0.981396	0.882996	-0.291035	0.342973	0.134112	
16	0.075546	0.225164	-0.111949	-0.964915	0.025536	0.189721	-0.015680	-0.981381	0.883015	-0.291072	0.342935	0.134006	
17	0.075434	0.224971	-0.111832	-0.964983	0.025434	0.189832	-0.015654	-0.981362	0.883059	-0.291073	0.342866	0.133888	
18	0.075300	0.224805	-0.111701	-0.965047	0.025329	0.189958	-0.015618	-0.981341	0.883133	-0.291039	0.342757	0.133753	
19	0.075178	0.224673	-0.111541	-0.965106	0.025221	0.190102	-0.015578	-0.981317	0.883227	-0.290976	0.342624	0.133609	
20	0.075067	0.224569	-0.111354	-0.965160	0.025109	0.190264	-0.015534	-0.981289	0.883334	-0.290892	0.342478	0.133459	
21	0.074931	0.224480	-0.111168	-0.965213	0.024995	0.190441	-0.015485	-0.981258	0.883452	-0.290794	0.342318	0.133303	
22	0.074829	0.224414	-0.110955	-0.965261	0.024880	0.190633	-0.015441	-0.981225	0.883564	-0.290693	0.342173	0.133154	
23	0.074700	0.224350	-0.110757	-0.965308	0.024765	0.190837	-0.015395	-0.981188	0.883671	-0.290597	0.342036	0.133007	
24	0.074584	0.224289	-0.110559	-0.965354	0.024653	0.191051	-0.015355	-0.981150	0.883761	-0.290514	0.341927	0.132871	
25	0.074480	0.224224	-0.110371	-0.965399	0.024547	0.191272	-0.015324	-0.981110	0.883828	-0.290452	0.341854	0.132749	
