Mhairi	// User ID
4-6-2024	// Evaluation date
P10_ROM	4-6-2024	10:09:22:931	// Source file name and timestamp
100.000	// Sampling rate
46.205	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	
0	0.956029	-0.284832	0.066822	0.020347	0.040864	-0.419919	0.078035	0.903277	-0.039019	-0.186363	0.153316	0.969660	
1	0.956040	-0.284827	0.066699	0.020297	0.040835	-0.419751	0.078039	0.903356	-0.039116	-0.186261	0.153344	0.969671	
2	0.956050	-0.284832	0.066554	0.020256	0.040812	-0.419596	0.078038	0.903429	-0.039237	-0.186136	0.153363	0.969687	
3	0.956058	-0.284846	0.066388	0.020227	0.040796	-0.419463	0.078033	0.903492	-0.039383	-0.185999	0.153373	0.969706	
4	0.956063	-0.284871	0.066202	0.020212	0.040786	-0.419360	0.078024	0.903541	-0.039555	-0.185880	0.153382	0.969721	
5	0.956067	-0.284906	0.065998	0.020215	0.040780	-0.419293	0.078012	0.903573	-0.039752	-0.185788	0.153391	0.969729	
6	0.956069	-0.284947	0.065780	0.020235	0.040778	-0.419268	0.077995	0.903586	-0.039968	-0.185712	0.153393	0.969734	
7	0.956070	-0.284995	0.065552	0.020273	0.040778	-0.419288	0.077976	0.903579	-0.040199	-0.185664	0.153389	0.969734	
8	0.956070	-0.285044	0.065322	0.020327	0.040779	-0.419352	0.077953	0.903551	-0.040443	-0.185669	0.153388	0.969723	
9	0.956070	-0.285092	0.065094	0.020397	0.040778	-0.419457	0.077926	0.903505	-0.040693	-0.185721	0.153386	0.969703	
10	0.956070	-0.285135	0.064876	0.020479	0.040773	-0.419599	0.077897	0.903442	-0.040940	-0.185799	0.153376	0.969679	
11	0.956071	-0.285170	0.064674	0.020569	0.040765	-0.419770	0.077864	0.903365	-0.041178	-0.185910	0.153361	0.969651	
12	0.956074	-0.285195	0.064494	0.020665	0.040752	-0.419961	0.077827	0.903280	-0.041403	-0.186063	0.153345	0.969614	
13	0.956079	-0.285206	0.064339	0.020762	0.040734	-0.420161	0.077786	0.903191	-0.041605	-0.186237	0.153324	0.969575	
14	0.956086	-0.285203	0.064213	0.020856	0.040710	-0.420360	0.077742	0.903104	-0.041776	-0.186403	0.153290	0.969542	
15	0.956097	-0.285183	0.064120	0.020944	0.040682	-0.420547	0.077695	0.903022	-0.041912	-0.186561	0.153247	0.969512	
16	0.956109	-0.285148	0.064058	0.021023	0.040651	-0.420710	0.077643	0.902952	-0.042011	-0.186712	0.153199	0.969486	
17	0.956125	-0.285098	0.064027	0.021090	0.040618	-0.420841	0.077588	0.902897	-0.042067	-0.186829	0.153140	0.969471	
18	0.956143	-0.285033	0.064026	0.021144	0.040585	-0.420932	0.077531	0.902861	-0.042078	-0.186887	0.153065	0.969471	
19	0.956164	-0.284956	0.064051	0.021184	0.040555	-0.420978	0.077470	0.902846	-0.042045	-0.186892	0.152981	0.969485	
20	0.956186	-0.284869	0.064099	0.021209	0.040530	-0.420977	0.077407	0.902853	-0.041972	-0.186851	0.152892	0.969510	
21	0.956209	-0.284775	0.064164	0.021221	0.040512	-0.420929	0.077341	0.902882	-0.041858	-0.186742	0.152794	0.969551	
22	0.956234	-0.284675	0.064243	0.021221	0.040503	-0.420837	0.077275	0.902931	-0.041709	-0.186559	0.152685	0.969610	
23	0.956258	-0.284573	0.064330	0.021210	0.040504	-0.420707	0.077209	0.902997	-0.041531	-0.186323	0.152574	0.969680	
24	0.956283	-0.284471	0.064422	0.021190	0.040518	-0.420546	0.077142	0.903077	-0.041333	-0.186051	0.152468	0.969758	
25	0.956307	-0.284371	0.064516	0.021164	0.040544	-0.420364	0.077078	0.903166	-0.041119	-0.185734	0.152361	0.969844	
26	0.956330	-0.284275	0.064609	0.021134	0.040582	-0.420171	0.077017	0.903260	-0.040896	-0.185382	0.152257	0.969938	
27	0.956351	-0.284185	0.064699	0.021102	0.040632	-0.419979	0.076960	0.903351	-0.040674	-0.185028	0.152163	0.970029	
28	0.956371	-0.284100	0.064786	0.021070	0.040691	-0.419799	0.076908	0.903437	-0.040461	-0.184691	0.152085	0.970114	
29	0.956389	-0.284023	0.064871	0.021038	0.040758	-0.419643	0.076862	0.903510	-0.040261	-0.184366	0.152018	0.970195	
30	0.956405	-0.283954	0.064953	0.021006	0.040830	-0.419519	0.076826	0.903568	-0.040078	-0.184066	0.151962	0.970268	
31	0.956418	-0.283893	0.065035	0.020976	0.040905	-0.419434	0.076798	0.903606	-0.039921	-0.183823	0.151927	0.970326	
32	0.956429	-0.283840	0.065118	0.020947	0.040979	-0.419395	0.076780	0.903622	-0.039791	-0.183643	0.151913	0.970368	
33	0.956437	-0.283795	0.065204	0.020917	0.041049	-0.419406	0.076774	0.903615	-0.039687	-0.183512	0.151913	0.970397	
34	0.956442	-0.283759	0.065293	0.020885	0.041112	-0.419467	0.076780	0.903583	-0.039612	-0.183436	0.151927	0.970413	
35	0.956445	-0.283732	0.065387	0.020850	0.041166	-0.419576	0.076799	0.903528	-0.039566	-0.183433	0.151962	0.970409	
36	0.956444	-0.283713	0.065486	0.020810	0.041209	-0.419729	0.076830	0.903452	-0.039547	-0.183492	0.152015	0.970391	
37	0.956441	-0.283703	0.065588	0.020765	0.041239	-0.419922	0.076875	0.903358	-0.039550	-0.183587	0.152076	0.970363	
38	0.956436	-0.283701	0.065691	0.020712	0.041256	-0.420147	0.076933	0.903247	-0.039574	-0.183718	0.152149	0.970326	
39	0.956428	-0.283709	0.065793	0.020652	0.041259	-0.420395	0.077003	0.903126	-0.039616	-0.183892	0.152237	0.970277	
40	0.956418	-0.283725	0.065891	0.020584	0.041249	-0.420656	0.077084	0.902998	-0.039673	-0.184085	0.152335	0.970223	
41	0.956406	-0.283749	0.065981	0.020508	0.041227	-0.420922	0.077177	0.902867	-0.039739	-0.184271	0.152436	0.970169	
42	0.956393	-0.283781	0.066057	0.020425	0.041194	-0.421183	0.077280	0.902738	-0.039811	-0.184452	0.152544	0.970115	
43	0.956379	-0.283820	0.066117	0.020337	0.041153	-0.421430	0.077391	0.902615	-0.039891	-0.184635	0.152663	0.970058	
44	0.956365	-0.283865	0.066156	0.020245	0.041106	-0.421655	0.077508	0.902502	-0.039973	-0.184796	0.152788	0.970004	
45	0.956352	-0.283913	0.066172	0.020151	0.041054	-0.421853	0.077631	0.902402	-0.040054	-0.184919	0.152912	0.969958	
46	0.956339	-0.283964	0.066163	0.020057	0.041001	-0.422017	0.077757	0.902316	-0.040136	-0.185015	0.153043	0.969916	
47	0.956328	-0.284016	0.066127	0.019966	0.040948	-0.422144	0.077884	0.902248	-0.040220	-0.185097	0.153183	0.969874	
48	0.956320	-0.284065	0.066067	0.019879	0.040897	-0.422233	0.078011	0.902198	-0.040304	-0.185147	0.153326	0.969839	
49	0.956314	-0.284109	0.065983	0.019798	0.040851	-0.422283	0.078137	0.902166	-0.040386	-0.185158	0.153469	0.969811	
50	0.956311	-0.284148	0.065880	0.019724	0.040810	-0.422296	0.078259	0.902151	-0.040470	-0.185153	0.153617	0.969785	
51	0.956312	-0.284177	0.065763	0.019657	0.040776	-0.422273	0.078376	0.902153	-0.040558	-0.185143	0.153771	0.969759	
52	0.956316	-0.284197	0.065638	0.019599	0.040749	-0.422219	0.078488	0.902170	-0.040648	-0.185111	0.153924	0.969737	
53	0.956323	-0.284205	0.065513	0.019547	0.040728	-0.422138	0.078593	0.902199	-0.040739	-0.185058	0.154072	0.969719	
54	0.956333	-0.284200	0.065393	0.019501	0.040716	-0.422036	0.078691	0.902239	-0.040835	-0.185007	0.154220	0.969702	
55	0.956346	-0.284184	0.065288	0.019461	0.040710	-0.421916	0.078781	0.902288	-0.040937	-0.184960	0.154367	0.969683	
56	0.956361	-0.284156	0.065202	0.019423	0.040712	-0.421786	0.078863	0.902341	-0.041040	-0.184900	0.154504	0.969668	
57	0.956378	-0.284117	0.065142	0.019386	0.040720	-0.421650	0.078938	0.902398	-0.041146	-0.184826	0.154628	0.969658	
58	0.956395	-0.284070	0.065111	0.019348	0.040735	-0.421513	0.079005	0.902456	-0.041256	-0.184756	0.154744	0.969648	
59	0.956411	-0.284016	0.065113	0.019307	0.040755	-0.421379	0.079066	0.902512	-0.041369	-0.184687	0.154850	0.969639	
60	0.956427	-0.283960	0.065147	0.019261	0.040782	-0.421253	0.079120	0.902565	-0.041482	-0.184597	0.154937	0.969638	
61	0.956440	-0.283903	0.065211	0.019210	0.040815	-0.421137	0.079169	0.902613	-0.041593	-0.184487	0.155004	0.969643	
62	0.956451	-0.283850	0.065302	0.019152	0.040854	-0.421034	0.079213	0.902655	-0.041704	-0.184374	0.155060	0.969651	
63	0.956458	-0.283803	0.065415	0.019087	0.040899	-0.420945	0.079253	0.902691	-0.041814	-0.184251	0.155101	0.969663	
64	0.956462	-0.283764	0.065543	0.019017	0.040950	-0.420869	0.079289	0.902721	-0.041919	-0.184097	0.155121	0.969685	
65	0.956463	-0.283737	0.065676	0.018941	0.041008	-0.420808	0.079323	0.902744	-0.042019	-0.183922	0.155124	0.969713	
66	0.956459	-0.283723	0.065808	0.018862	0.041072	-0.420760	0.079354	0.902761	-0.042115	-0.183744	0.155119	0.969744	
67	0.956453	-0.283723	0.065928	0.018781	0.041141	-0.420722	0.079382	0.902773	-0.042205	-0.183555	0.155103	0.969778	
68	0.956443	-0.283737	0.066028	0.018701	0.041217	-0.420694	0.079409	0.902780	-0.042287	-0.183341	0.155072	0.969820	
69	0.956432	-0.283764	0.066102	0.018624	0.041297	-0.420672	0.079434	0.902784	-0.042361	-0.183119	0.155033	0.969865	
70	0.956419	-0.283803	0.066144	0.018552	0.041381	-0.420654	0.079456	0.902787	-0.042430	-0.182908	0.154995	0.969908	
71	0.956405	-0.283851	0.066150	0.018486	0.041469	-0.420636	0.079475	0.902790	-0.042489	-0.182699	0.154953	0.969951	
72	0.956392	-0.283906	0.066119	0.018429	0.041558	-0.420616	0.079493	0.902794	-0.042537	-0.182481	0.154904	0.969998	
73	0.956381	-0.283964	0.066051	0.018381	0.041649	-0.420591	0.079507	0.902800	-0.042576	-0.182274	0.154856	0.970043	
74	0.956371	-0.284021	0.065949	0.018342	0.041739	-0.420559	0.079518	0.902810	-0.042605	-0.182094	0.154814	0.970082	
75	0.956365	-0.284074	0.065819	0.018313	0.041827	-0.420517	0.079526	0.902824	-0.042624	-0.181924	0.154771	0.970120	
76	0.956362	-0.284120	0.065668	0.018292	0.041913	-0.420466	0.079530	0.902844	-0.042628	-0.181756	0.154724	0.970159	
77	0.956364	-0.284154	0.065504	0.018278	0.041995	-0.420403	0.079530	0.902869	-0.042622	-0.181609	0.154679	0.970194	
78	0.956369	-0.284176	0.065335	0.018269	0.042073	-0.420328	0.079527	0.902901	-0.042605	-0.181489	0.154639	0.970223	
79	0.956378	-0.284183	0.065171	0.018264	0.042147	-0.420243	0.079520	0.902937	-0.042574	-0.181374	0.154595	0.970253	
80	0.956391	-0.284175	0.065021	0.018259	0.042216	-0.420148	0.079510	0.902979	-0.042530	-0.181258	0.154546	0.970285	
81	0.956407	-0.284152	0.064892	0.018253	0.042282	-0.420046	0.079498	0.903025	-0.042475	-0.181156	0.154496	0.970314	
82	0.956425	-0.284114	0.064792	0.018244	0.042344	-0.419938	0.079483	0.903074	-0.042410	-0.181070	0.154448	0.970341	
83	0.956445	-0.284063	0.064724	0.018230	0.042405	-0.419827	0.079467	0.903124	-0.042334	-0.180976	0.154392	0.970370	
84	0.956465	-0.284003	0.064692	0.018208	0.042464	-0.419716	0.079451	0.903174	-0.042248	-0.180872	0.154330	0.970403	
85	0.956486	-0.283936	0.064696	0.018179	0.042523	-0.419608	0.079435	0.903222	-0.042155	-0.180778	0.154269	0.970435	
86	0.956505	-0.283864	0.064734	0.018142	0.042585	-0.419506	0.079420	0.903268	-0.042058	-0.180690	0.154209	0.970465	
87	0.956522	-0.283793	0.064804	0.018097	0.042648	-0.419414	0.079407	0.903309	-0.041956	-0.180588	0.154145	0.970498	
88	0.956537	-0.283723	0.064901	0.018044	0.042716	-0.419332	0.079396	0.903345	-0.041851	-0.180479	0.154080	0.970534	
89	0.956549	-0.283660	0.065019	0.017985	0.042787	-0.419263	0.079389	0.903374	-0.041747	-0.180384	0.154022	0.970565	
90	0.956558	-0.283604	0.065152	0.017920	0.042864	-0.419209	0.079384	0.903396	-0.041646	-0.180299	0.153973	0.970593	
91	0.956563	-0.283557	0.065294	0.017853	0.042945	-0.419170	0.079384	0.903410	-0.041545	-0.180207	0.153925	0.970622	
92	0.956566	-0.283521	0.065438	0.017783	0.043031	-0.419147	0.079387	0.903417	-0.041449	-0.180120	0.153885	0.970648	
93	0.956565	-0.283495	0.065581	0.017714	0.043121	-0.419137	0.079394	0.903416	-0.041359	-0.180061	0.153860	0.970667	
94	0.956561	-0.283479	0.065719	0.017646	0.043214	-0.419141	0.079405	0.903409	-0.041276	-0.180019	0.153848	0.970680	
95	0.956555	-0.283473	0.065849	0.017581	0.043308	-0.419156	0.079420	0.903396	-0.041196	-0.179979	0.153843	0.970692	
96	0.956548	-0.283474	0.065970	0.017519	0.043402	-0.419181	0.079439	0.903379	-0.041122	-0.179955	0.153849	0.970699	
97	0.956538	-0.283482	0.066086	0.017462	0.043494	-0.419213	0.079460	0.903357	-0.041055	-0.179964	0.153871	0.970696	
98	0.956528	-0.283495	0.066196	0.017409	0.043582	-0.419250	0.079485	0.903334	-0.040993	-0.179988	0.153904	0.970689	
99	0.956516	-0.283512	0.066306	0.017361	0.043665	-0.419291	0.079513	0.903309	-0.040932	-0.180013	0.153939	0.970681	
100	0.956503	-0.283532	0.066420	0.017317	0.043740	-0.419332	0.079544	0.903283	-0.040874	-0.180052	0.153983	0.970670	
101	0.956489	-0.283554	0.066541	0.017277	0.043806	-0.419373	0.079577	0.903258	-0.040820	-0.180114	0.154036	0.970652	
102	0.956473	-0.283579	0.066675	0.017240	0.043861	-0.419414	0.079614	0.903233	-0.040765	-0.180177	0.154091	0.970634	
103	0.956454	-0.283609	0.066825	0.017207	0.043905	-0.419453	0.079654	0.903209	-0.040708	-0.180228	0.154141	0.970619	
104	0.956433	-0.283644	0.066993	0.017177	0.043937	-0.419491	0.079698	0.903186	-0.040651	-0.180282	0.154193	0.970603	
105	0.956407	-0.283686	0.067180	0.017149	0.043956	-0.419529	0.079745	0.903163	-0.040593	-0.180342	0.154246	0.970586	
106	0.956378	-0.283739	0.067388	0.017125	0.043963	-0.419567	0.079797	0.903141	-0.040533	-0.180386	0.154294	0.970573	
107	0.956343	-0.283804	0.067613	0.017104	0.043956	-0.419608	0.079853	0.903117	-0.040471	-0.180407	0.154333	0.970565	
108	0.956302	-0.283883	0.067853	0.017088	0.043938	-0.419651	0.079912	0.903093	-0.040408	-0.180422	0.154371	0.970559	
109	0.956256	-0.283980	0.068103	0.017077	0.043908	-0.419697	0.079976	0.903067	-0.040347	-0.180433	0.154410	0.970553	
110	0.956204	-0.284095	0.068357	0.017072	0.043868	-0.419748	0.080045	0.903039	-0.040286	-0.180420	0.154444	0.970553	
111	0.956146	-0.284228	0.068611	0.017075	0.043819	-0.419802	0.080117	0.903010	-0.040226	-0.180384	0.154472	0.970557	
112	0.956083	-0.284380	0.068857	0.017086	0.043762	-0.419859	0.080193	0.902980	-0.040173	-0.180345	0.154506	0.970562	
113	0.956015	-0.284550	0.069090	0.017106	0.043699	-0.419917	0.080271	0.902949	-0.040127	-0.180304	0.154544	0.970565	
114	0.955944	-0.284734	0.069306	0.017135	0.043630	-0.419973	0.080351	0.902919	-0.040089	-0.180242	0.154583	0.970572	
115	0.955871	-0.284929	0.069499	0.017174	0.043557	-0.420024	0.080433	0.902891	-0.040060	-0.180167	0.154625	0.970580	
116	0.955798	-0.285133	0.069670	0.017222	0.043481	-0.420066	0.080515	0.902868	-0.040045	-0.180100	0.154679	0.970585	
117	0.955724	-0.285339	0.069815	0.017277	0.043404	-0.420096	0.080597	0.902851	-0.040046	-0.180037	0.154743	0.970586	
118	0.955653	-0.285545	0.069936	0.017338	0.043325	-0.420108	0.080679	0.902841	-0.040060	-0.179961	0.154811	0.970589	
119	0.955585	-0.285744	0.070036	0.017404	0.043245	-0.420100	0.080760	0.902842	-0.040092	-0.179883	0.154888	0.970590	
120	0.955521	-0.285934	0.070118	0.017471	0.043164	-0.420068	0.080839	0.902854	-0.040143	-0.179821	0.154979	0.970584	
121	0.955462	-0.286111	0.070185	0.017539	0.043082	-0.420010	0.080917	0.902878	-0.040214	-0.179766	0.155081	0.970575	
122	0.955408	-0.286272	0.070244	0.017604	0.042999	-0.419925	0.080994	0.902914	-0.040302	-0.179700	0.155187	0.970567	
123	0.955359	-0.286417	0.070299	0.017665	0.042913	-0.419814	0.081071	0.902963	-0.040408	-0.179637	0.155300	0.970556	
124	0.955316	-0.286545	0.070354	0.017720	0.042825	-0.419678	0.081148	0.903024	-0.040535	-0.179592	0.155426	0.970539	
125	0.955277	-0.286658	0.070413	0.017768	0.042733	-0.419521	0.081225	0.903094	-0.040680	-0.179549	0.155558	0.970520	
126	0.955241	-0.286759	0.070479	0.017808	0.042635	-0.419350	0.081304	0.903171	-0.040838	-0.179494	0.155689	0.970502	
127	0.955207	-0.286851	0.070554	0.017841	0.042531	-0.419171	0.081385	0.903251	-0.041012	-0.179443	0.155825	0.970483	
128	0.955174	-0.286939	0.070637	0.017867	0.042420	-0.418991	0.081469	0.903332	-0.041201	-0.179409	0.155969	0.970458	
129	0.955141	-0.287026	0.070727	0.017888	0.042301	-0.418820	0.081555	0.903410	-0.041402	-0.179374	0.156114	0.970433	
130	0.955106	-0.287117	0.070821	0.017907	0.042174	-0.418666	0.081646	0.903479	-0.041611	-0.179329	0.156255	0.970409	
131	0.955068	-0.287217	0.070915	0.017927	0.042037	-0.418537	0.081738	0.903537	-0.041829	-0.179294	0.156397	0.970383	
