Mhairi	// User ID
20-6-2024	// Evaluation date
P13_ADL	5-6-2024	11:37:31:451	// Source file name and timestamp
100.000	// Sampling rate
339.795	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	
0	0.978440	-0.078358	0.191015	0.005404	0.207156	-0.472584	-0.017893	0.856406	0.001172	-0.077403	0.100716	-0.991899	
1	0.978671	-0.081481	0.188533	0.004295	0.206499	-0.477278	-0.014916	0.854015	0.001410	-0.078316	0.099062	-0.991994	
2	0.978888	-0.084710	0.185990	0.003279	0.205666	-0.481476	-0.012167	0.851901	0.001400	-0.079619	0.097163	-0.992078	
3	0.979092	-0.088007	0.183377	0.002330	0.204637	-0.485176	-0.009693	0.850079	0.001112	-0.081173	0.094982	-0.992163	
4	0.979289	-0.091339	0.180688	0.001422	0.203396	-0.488399	-0.007520	0.848551	0.000533	-0.082799	0.092481	-0.992266	
5	0.979480	-0.094671	0.177921	0.000533	0.201935	-0.491187	-0.005653	0.847305	-0.000332	-0.084318	0.089635	-0.992399	
6	0.979668	-0.097974	0.175078	-0.000353	0.200250	-0.493607	-0.004077	0.846307	-0.001455	-0.085582	0.086440	-0.992573	
7	0.979853	-0.101226	0.172163	-0.001247	0.198348	-0.495746	-0.002761	0.845510	-0.002792	-0.086460	0.082907	-0.992796	
8	0.980037	-0.104409	0.169182	-0.002151	0.196236	-0.497699	-0.001651	0.844858	-0.004288	-0.086808	0.079048	-0.993075	
9	0.980218	-0.107513	0.166145	-0.003062	0.193928	-0.499573	-0.000683	0.844286	-0.005879	-0.086514	0.074891	-0.993414	
10	0.980396	-0.110537	0.163060	-0.003970	0.191441	-0.501481	0.000217	0.843723	-0.007492	-0.085519	0.070481	-0.993812	
11	0.980570	-0.113485	0.159936	-0.004860	0.188793	-0.503530	0.001124	0.843097	-0.009051	-0.083784	0.065865	-0.994264	
12	0.980737	-0.116365	0.156784	-0.005713	0.186003	-0.505818	0.002116	0.842346	-0.010487	-0.081275	0.061084	-0.994763	
13	0.980894	-0.119192	0.153614	-0.006510	0.183091	-0.508425	0.003263	0.841410	-0.011735	-0.077992	0.056185	-0.995300	
14	0.981039	-0.121982	0.150436	-0.007230	0.180076	-0.511417	0.004622	0.840241	-0.012735	-0.073987	0.051215	-0.995862	
15	0.981167	-0.124753	0.147260	-0.007854	0.176975	-0.514831	0.006233	0.838803	-0.013440	-0.069318	0.046211	-0.996433	
16	0.981277	-0.127523	0.144097	-0.008368	0.173805	-0.518678	0.008126	0.837077	-0.013818	-0.064038	0.041199	-0.997001	
17	0.981364	-0.130306	0.140957	-0.008762	0.170581	-0.522944	0.010304	0.835060	-0.013850	-0.058229	0.036200	-0.997551	
18	0.981425	-0.133117	0.137851	-0.009031	0.167318	-0.527591	0.012754	0.832760	-0.013529	-0.052004	0.031232	-0.998067	
19	0.981459	-0.135965	0.134790	-0.009176	0.164028	-0.532558	0.015444	0.830204	-0.012863	-0.045459	0.026303	-0.998537	
20	0.981462	-0.138856	0.131786	-0.009205	0.160722	-0.537761	0.018331	0.827433	-0.011878	-0.038677	0.021410	-0.998952	
21	0.981432	-0.141793	0.128850	-0.009131	0.157410	-0.543109	0.021358	0.824499	-0.010610	-0.031759	0.016554	-0.999302	
22	0.981369	-0.144776	0.125994	-0.008971	0.154100	-0.548504	0.024461	0.821461	-0.009099	-0.024817	0.011735	-0.999582	
23	0.981271	-0.147803	0.123229	-0.008745	0.150796	-0.553845	0.027575	0.818386	-0.007396	-0.017936	0.006949	-0.999788	
24	0.981137	-0.150868	0.120568	-0.008476	0.147502	-0.559035	0.030642	0.815343	-0.005561	-0.011186	0.002194	-0.999920	
25	0.980968	-0.153967	0.118020	-0.008185	0.144221	-0.563991	0.033609	0.812394	-0.003649	-0.004653	-0.002527	-0.999979	
26	0.980763	-0.157096	0.115592	-0.007894	0.140952	-0.568646	0.036434	0.809597	0.001711	-0.001572	0.007203	0.999971	
27	0.980523	-0.160251	0.113294	-0.007620	0.137693	-0.572947	0.039089	0.806997	-0.000200	-0.007424	0.011824	0.999903	
28	0.980248	-0.163431	0.111128	-0.007379	0.134443	-0.576860	0.041565	0.804631	-0.002034	-0.012847	0.016374	0.999781	
29	0.979938	-0.166636	0.109098	-0.007179	0.131197	-0.580373	0.043864	0.802515	-0.003756	-0.017765	0.020830	0.999618	
30	0.979593	-0.169867	0.107203	-0.007024	0.127952	-0.583495	0.046000	0.800653	-0.005338	-0.022101	0.025168	0.999425	
31	0.979215	-0.173129	0.105439	-0.006914	0.124704	-0.586248	0.048003	0.799036	-0.006757	-0.025806	0.029362	0.999213	
32	0.978802	-0.176425	0.103803	-0.006844	0.121446	-0.588667	0.049909	0.797641	-0.007995	-0.028838	0.033391	0.998994	
33	0.978355	-0.179760	0.102284	-0.006804	0.118175	-0.590801	0.051758	0.796436	-0.009048	-0.031141	0.037229	0.998780	
34	0.977875	-0.183137	0.100873	-0.006780	0.114886	-0.592705	0.053588	0.795380	-0.009920	-0.032672	0.040856	0.998581	
35	0.977363	-0.186560	0.099557	-0.006759	0.111574	-0.594433	0.055439	0.794435	-0.010612	-0.033424	0.044258	0.998404	
36	0.976820	-0.190028	0.098325	-0.006724	0.108239	-0.596034	0.057343	0.793561	-0.011132	-0.033405	0.047431	0.998254	
37	0.976247	-0.193536	0.097161	-0.006661	0.104881	-0.597558	0.059319	0.792721	-0.011496	-0.032623	0.050370	0.998131	
38	0.975649	-0.197078	0.096052	-0.006555	0.101501	-0.599041	0.061377	0.791884	-0.011721	-0.031113	0.053082	0.998036	
39	0.975028	-0.200642	0.094984	-0.006394	0.098107	-0.600506	0.063519	0.791033	-0.011818	-0.028955	0.055583	0.997964	
40	0.974388	-0.204216	0.093943	-0.006171	0.094709	-0.601963	0.065733	0.790158	-0.011802	-0.026243	0.057892	0.997908	
41	0.973735	-0.207780	0.092915	-0.005880	0.091321	-0.603411	0.067996	0.789260	-0.011693	-0.023070	0.060034	0.997861	
42	0.973073	-0.211317	0.091889	-0.005519	0.087960	-0.604836	0.070276	0.788351	-0.011510	-0.019558	0.062040	0.997816	
43	0.972409	-0.214804	0.090853	-0.005088	0.084647	-0.606210	0.072542	0.787453	-0.011263	-0.015860	0.063943	0.997764	
44	0.971748	-0.218223	0.089796	-0.004591	0.081405	-0.607497	0.074756	0.786595	-0.010965	-0.012120	0.065779	0.997700	
45	0.971097	-0.221553	0.088708	-0.004035	0.078256	-0.608664	0.076883	0.785807	0.010636	0.008465	-0.067581	-0.997621	
46	0.970460	-0.224777	0.087579	-0.003426	0.075225	-0.609671	0.078892	0.785123	0.010287	0.005028	-0.069383	-0.997524	
47	0.969844	-0.227883	0.086402	-0.002773	0.072333	-0.610479	0.080762	0.784577	0.009922	0.001944	-0.071215	-0.997410	
48	0.969250	-0.230859	0.085167	-0.002084	0.069598	-0.611059	0.082478	0.784194	0.009550	-0.000688	-0.073105	-0.997278	
49	0.968684	-0.233701	0.083866	-0.001367	0.067034	-0.611396	0.084035	0.783990	0.009180	-0.002808	-0.075071	-0.997132	
50	0.968146	-0.236408	0.082492	-0.000628	0.064648	-0.611481	0.085439	0.783972	0.008811	-0.004366	-0.077132	-0.996972	
51	0.967636	-0.238984	0.081039	0.000128	0.062441	-0.611318	0.086710	0.784138	0.008436	-0.005323	-0.079299	-0.996801	
52	0.967154	-0.241437	0.079503	0.000895	0.060406	-0.610930	0.087870	0.784471	0.008054	-0.005693	-0.081577	-0.996618	
53	0.966698	-0.243778	0.077880	0.001672	0.058527	-0.610358	0.088949	0.784937	0.007662	-0.005518	-0.083965	-0.996424	
54	0.966264	-0.246021	0.076171	0.002457	0.056783	-0.609649	0.089980	0.785498	0.007250	-0.004842	-0.086459	-0.996217	
55	0.965849	-0.248181	0.074377	0.003250	0.055144	-0.608864	0.091000	0.786106	0.006804	-0.003711	-0.089050	-0.995997	
56	0.965448	-0.250273	0.072504	0.004050	0.053576	-0.608075	0.092037	0.786704	0.006322	-0.002203	-0.091727	-0.995762	
57	0.965057	-0.252314	0.070563	0.004859	0.052038	-0.607363	0.093116	0.787231	0.005802	-0.000398	-0.094472	-0.995510	
58	0.964671	-0.254316	0.068567	0.005678	0.050492	-0.606801	0.094255	0.787628	0.005237	0.001655	-0.097270	-0.995243	
59	0.964285	-0.256291	0.066532	0.006508	0.048900	-0.606465	0.095463	0.787842	0.004622	0.003921	-0.100101	-0.994959	
60	0.963896	-0.258248	0.064481	0.007352	0.047225	-0.606423	0.096739	0.787821	-0.003965	-0.006364	0.102943	0.994659	
61	0.963501	-0.260193	0.062435	0.008210	0.045437	-0.606733	0.098071	0.787523	-0.003276	-0.008968	0.105775	0.994344	
62	0.963097	-0.262127	0.060421	0.009084	0.043517	-0.607435	0.099440	0.786919	-0.002560	-0.011764	0.108574	0.994016	
63	0.962684	-0.264050	0.058466	0.009978	0.041450	-0.608551	0.100822	0.785992	-0.001823	-0.014797	0.111314	0.993673	
64	0.962260	-0.265958	0.056596	0.010896	0.039234	-0.610089	0.102185	0.784736	-0.001083	-0.018109	0.113971	0.993318	
