Mhairi	// User ID
20-6-2024	// Evaluation date
P14_JA_Slow	5-6-2024	14:58:41:639	// Source file name and timestamp
100.000	// Sampling rate
111.475	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	
0	0.964951	-0.235892	0.107166	0.041710	-0.010413	-0.505846	0.031480	0.861986	-0.044994	-0.605496	0.132850	0.783390	
1	0.964998	-0.235727	0.107239	0.041377	-0.010161	-0.505651	0.031415	0.862106	-0.045072	-0.605403	0.132988	0.783435	
2	0.965051	-0.235531	0.107311	0.041056	-0.009903	-0.505432	0.031336	0.862240	-0.045102	-0.605279	0.133128	0.783505	
3	0.965112	-0.235303	0.107380	0.040755	-0.009640	-0.505184	0.031244	0.862392	-0.045076	-0.605135	0.133252	0.783597	
4	0.965180	-0.235040	0.107446	0.040483	-0.009374	-0.504906	0.031134	0.862562	-0.044994	-0.604970	0.133364	0.783709	
5	0.965255	-0.234744	0.107507	0.040246	-0.009106	-0.504600	0.031005	0.862748	-0.044860	-0.604787	0.133462	0.783842	
6	0.965337	-0.234416	0.107565	0.040050	-0.008838	-0.504268	0.030855	0.862951	-0.044672	-0.604598	0.133532	0.783987	
7	0.965423	-0.234060	0.107621	0.039900	-0.008568	-0.503913	0.030682	0.863167	-0.044428	-0.604415	0.133556	0.784138	
8	0.965513	-0.233679	0.107676	0.039800	-0.008300	-0.503543	0.030485	0.863392	-0.044139	-0.604239	0.133536	0.784293	
9	0.965606	-0.233279	0.107734	0.039749	-0.008035	-0.503167	0.030262	0.863622	-0.043810	-0.604074	0.133474	0.784449	
10	0.965698	-0.232866	0.107798	0.039748	-0.007774	-0.502791	0.030013	0.863852	-0.043447	-0.603932	0.133352	0.784599	
11	0.965789	-0.232447	0.107871	0.039793	-0.007515	-0.502423	0.029738	0.864078	-0.043054	-0.603820	0.133159	0.784740	
12	0.965877	-0.232027	0.107956	0.039878	-0.007262	-0.502071	0.029436	0.864295	-0.042644	-0.603734	0.132906	0.784871	
13	0.965960	-0.231615	0.108057	0.039995	-0.007017	-0.501743	0.029110	0.864499	-0.042228	-0.603671	0.132594	0.784995	
14	0.966036	-0.231216	0.108177	0.040137	-0.006777	-0.501440	0.028759	0.864688	-0.041810	-0.603637	0.132213	0.785108	
15	0.966105	-0.230834	0.108316	0.040293	-0.006544	-0.501165	0.028388	0.864861	-0.041399	-0.603627	0.131763	0.785212	
16	0.966166	-0.230476	0.108477	0.040454	-0.006319	-0.500921	0.027997	0.865017	-0.041006	-0.603632	0.131262	0.785314	
17	0.966218	-0.230145	0.108659	0.040608	-0.006106	-0.500706	0.027591	0.865156	-0.040639	-0.603641	0.130719	0.785416	
18	0.966261	-0.229843	0.108862	0.040746	-0.005902	-0.500516	0.027173	0.865280	-0.040301	-0.603655	0.130130	0.785521	
19	0.966296	-0.229573	0.109083	0.040861	-0.005709	-0.500348	0.026747	0.865393	-0.039997	-0.603665	0.129506	0.785631	
20	0.966322	-0.229335	0.109321	0.040945	-0.005533	-0.500197	0.026319	0.865494	-0.039737	-0.603658	0.128871	0.785754	
21	0.966340	-0.229130	0.109572	0.040993	-0.005373	-0.500059	0.025895	0.865587	-0.039524	-0.603628	0.128237	0.785892	
22	0.966351	-0.228956	0.109834	0.041004	-0.005232	-0.499927	0.025480	0.865677	-0.039356	-0.603576	0.127606	0.786043	
23	0.966356	-0.228812	0.110102	0.040976	-0.005112	-0.499796	0.025080	0.865765	-0.039236	-0.603499	0.126994	0.786208	
24	0.966355	-0.228696	0.110374	0.040913	-0.005019	-0.499664	0.024702	0.865852	-0.039169	-0.603388	0.126426	0.786387	
25	0.966349	-0.228606	0.110647	0.040819	-0.004954	-0.499527	0.024352	0.865942	-0.039155	-0.603249	0.125909	0.786578	
26	0.966339	-0.228539	0.110917	0.040699	-0.004917	-0.499381	0.024037	0.866035	-0.039188	-0.603089	0.125446	0.786772	
27	0.966325	-0.228492	0.111184	0.040561	-0.004913	-0.499226	0.023764	0.866132	-0.039272	-0.602913	0.125049	0.786967	
28	0.966308	-0.228463	0.111446	0.040414	-0.004945	-0.499060	0.023536	0.866234	-0.039407	-0.602720	0.124738	0.787157	
29	0.966288	-0.228448	0.111702	0.040266	-0.005012	-0.498883	0.023361	0.866340	-0.039591	-0.602521	0.124510	0.787336	
30	0.966265	-0.228446	0.111953	0.040127	-0.005113	-0.498693	0.023240	0.866452	-0.039819	-0.602329	0.124360	0.787495	
31	0.966240	-0.228454	0.112200	0.040004	-0.005249	-0.498489	0.023177	0.866570	-0.040091	-0.602148	0.124296	0.787630	
32	0.966212	-0.228471	0.112444	0.039904	-0.005421	-0.498272	0.023173	0.866694	-0.040410	-0.601977	0.124324	0.787740	
33	0.966181	-0.228494	0.112687	0.039833	-0.005624	-0.498038	0.023227	0.866826	-0.040769	-0.601826	0.124431	0.787820	
34	0.966147	-0.228523	0.112931	0.039795	-0.005853	-0.497783	0.023339	0.866968	-0.041164	-0.601702	0.124602	0.787867	
35	0.966110	-0.228557	0.113179	0.039792	-0.006109	-0.497505	0.023504	0.867121	-0.041594	-0.601600	0.124839	0.787885	
36	0.966070	-0.228596	0.113432	0.039824	-0.006386	-0.497201	0.023718	0.867288	-0.042058	-0.601513	0.125139	0.787879	
37	0.966026	-0.228639	0.113695	0.039890	-0.006679	-0.496864	0.023974	0.867471	-0.042550	-0.601444	0.125478	0.787852	
38	0.965979	-0.228687	0.113967	0.039987	-0.006983	-0.496490	0.024266	0.867675	-0.043062	-0.601388	0.125841	0.787808	
39	0.965927	-0.228741	0.114252	0.040110	-0.007294	-0.496075	0.024584	0.867901	-0.043593	-0.601333	0.126225	0.787760	
40	0.965872	-0.228801	0.114550	0.040256	-0.007609	-0.495618	0.024920	0.868150	-0.044139	-0.601267	0.126622	0.787716	
41	0.965812	-0.228867	0.114863	0.040419	-0.007922	-0.495113	0.025265	0.868425	-0.044690	-0.601188	0.127008	0.787683	
42	0.965748	-0.228939	0.115191	0.040594	-0.008228	-0.494561	0.025608	0.868727	-0.045240	-0.601088	0.127371	0.787669	
43	0.965681	-0.229018	0.115534	0.040776	-0.008527	-0.493962	0.025941	0.869054	-0.045785	-0.600955	0.127711	0.787684	
44	0.965610	-0.229103	0.115891	0.040961	-0.008816	-0.493320	0.026255	0.869407	-0.046319	-0.600780	0.128023	0.787736	
45	0.965537	-0.229192	0.116263	0.041145	-0.009091	-0.492637	0.026542	0.869782	-0.046831	-0.600567	0.128288	0.787825	
46	0.965461	-0.229284	0.116648	0.041327	-0.009350	-0.491918	0.026797	0.870179	-0.047316	-0.600314	0.128501	0.787954	
47	0.965383	-0.229376	0.117043	0.041505	-0.009595	-0.491170	0.027012	0.870592	-0.047772	-0.600014	0.128673	0.788127	
48	0.965306	-0.229463	0.117447	0.041681	-0.009823	-0.490399	0.027184	0.871018	-0.048192	-0.599670	0.128800	0.788342	
49	0.965230	-0.229542	0.117856	0.041856	-0.010033	-0.489612	0.027311	0.871455	-0.048569	-0.599296	0.128871	0.788593	
50	0.965156	-0.229608	0.118268	0.042031	-0.010223	-0.488815	0.027390	0.871898	-0.048899	-0.598895	0.128892	0.788873	
51	0.965087	-0.229653	0.118678	0.042210	-0.010396	-0.488014	0.027420	0.872343	-0.049185	-0.598470	0.128877	0.789180	
52	0.965025	-0.229672	0.119083	0.042397	-0.010550	-0.487213	0.027403	0.872789	-0.049423	-0.598032	0.128827	0.789505	
53	0.964971	-0.229659	0.119476	0.042593	-0.010683	-0.486414	0.027339	0.873235	-0.049611	-0.597598	0.128734	0.789837	
54	0.964927	-0.229605	0.119854	0.042802	-0.010794	-0.485619	0.027231	0.873679	-0.049751	-0.597175	0.128609	0.790169	
55	0.964896	-0.229506	0.120212	0.043027	-0.010887	-0.484830	0.027079	0.874121	-0.049850	-0.596766	0.128468	0.790495	
56	0.964880	-0.229355	0.120543	0.043268	-0.010958	-0.484046	0.026888	0.874561	-0.049910	-0.596382	0.128307	0.790806	
57	0.964880	-0.229149	0.120844	0.043526	-0.011006	-0.483264	0.026659	0.875000	-0.049931	-0.596037	0.128122	0.791095	
58	0.964897	-0.228884	0.121109	0.043800	-0.011033	-0.482483	0.026395	0.875438	-0.049922	-0.595730	0.127923	0.791359	
59	0.964933	-0.228558	0.121336	0.044089	-0.011041	-0.481706	0.026099	0.875874	-0.049892	-0.595461	0.127720	0.791597	
