

Sample #	C7_X	C7_Y	C7_Z	T8_X	T8_Y	T8_Z	EL_X	EL_Y	EL_Z	EM_X	EM_Y	EM_Z	US_X	US_Y	US_Z	RS_X	RS_Y	RS_Z	AA_X	AA_Y	AA_Z	Fore_Clus_1_X	Fore_Clus_1_Y	Fore_Clus_1_Z	Fore_Clus_2_X	Fore_Clus_2_Y	Fore_Clus_2_Z	Fore_Clus_3_X	Fore_Clus_3_Y	Fore_Clus_3_Z	Fore_Clus_4_X	Fore_Clus_4_Y	Fore_Clus_4_Z	Hum_Clus_1_X	Hum_Clus_1_Y	Hum_Clus_1_Z	Hum_Clus_2_X	Hum_Clus_2_Y	Hum_Clus_2_Z	Hum_Clus_3_X	Hum_Clus_3_Y	Hum_Clus_3_Z	Hum_Clus_4_X	Hum_Clus_4_Y	Hum_Clus_4_Z	Thor_Clus_1_X	Thor_Clus_1_Y	Thor_Clus_1_Z	Thor_Clus_2_X	Thor_Clus_2_Y	Thor_Clus_2_Z	Thor_Clus_3_X	Thor_Clus_3_Y	Thor_Clus_3_Z	Thor_Clus_4_X	Thor_Clus_4_Y	Thor_Clus_4_Z	IJ_X	IJ_Y	IJ_Z	PX_X	PX_Y	PX_Z	GH_X	GH_Y	GH_Z	Thor_Clus_5_X	Thor_Clus_5_Y	Thor_Clus_5_Z	
0	-0.065942	1.388799	-0.072528	-0.104369	1.224112	-0.127482	-0.236160	1.027383	0.032835	-0.192881	1.014220	-0.000623	-0.241532	0.805977	0.068471	-0.195649	0.810825	0.094076	-0.207450	1.307881	0.020086	-0.258033	0.859406	0.088633	-0.257677	0.806242	0.100634	-0.233784	0.810066	0.115434	-0.220531	0.866183	0.112846	-0.213307	1.118739	0.095175	-0.255325	1.130316	0.053790	-0.258561	1.193745	0.059171	-0.211660	1.192919	0.094820	0.055145	1.287380	0.037754	0.015598	1.230132	0.085655	0.017776	1.282561	0.061349	0.069825	1.236655	0.051347	-0.004859	1.318170	0.005430	0.018305	1.113728	0.034222	-0.174358	1.287881	0.028354	0.009287	1.252644	0.079436	
1	-0.066524	1.388845	-0.072926	-0.105267	1.224142	-0.127609	-0.236142	1.027410	0.032552	-0.192845	1.014331	-0.000915	-0.241108	0.805864	0.067599	-0.195230	0.810721	0.093213	-0.207562	1.307992	0.020459	-0.257719	0.859257	0.087901	-0.257256	0.806056	0.099774	-0.233447	0.809924	0.114686	-0.220192	0.866001	0.112128	-0.213449	1.118682	0.095115	-0.255425	1.130333	0.053703	-0.258699	1.193754	0.059230	-0.211805	1.192875	0.094900	0.055102	1.287492	0.036874	0.015629	1.230092	0.085214	0.017876	1.282646	0.060584	0.069901	1.236755	0.050304	-0.005048	1.318238	0.004742	0.018229	1.113804	0.033499	-0.174465	1.287946	0.028583	0.009464	1.252731	0.078826	
2	-0.067089	1.388900	-0.073341	-0.106206	1.224191	-0.127738	-0.236105	1.027488	0.032412	-0.192838	1.014484	-0.001122	-0.240603	0.805802	0.066892	-0.194720	0.810684	0.092493	-0.207608	1.308129	0.020894	-0.257253	0.859157	0.087356	-0.256665	0.805923	0.099077	-0.232908	0.809861	0.114095	-0.219674	0.865876	0.111570	-0.213406	1.118708	0.095162	-0.255434	1.130460	0.053863	-0.258678	1.193863	0.059514	-0.211739	1.192880	0.095110	0.055091	1.287555	0.035909	0.016156	1.230384	0.084240	0.018112	1.282714	0.059774	0.069931	1.236801	0.049241	-0.005186	1.318300	0.003992	0.018189	1.113869	0.032687	-0.174499	1.288047	0.028882	0.009735	1.252722	0.078108	
3	-0.067631	1.388979	-0.073755	-0.107180	1.224279	-0.127868	-0.236049	1.027616	0.032425	-0.192863	1.014676	-0.001238	-0.240045	0.805794	0.066365	-0.194142	0.810711	0.091921	-0.207584	1.308298	0.021395	-0.256673	0.859149	0.087031	-0.255907	0.805870	0.098552	-0.232257	0.809896	0.113691	-0.218977	0.865805	0.111028	-0.213197	1.118766	0.095321	-0.255359	1.130640	0.054183	-0.258482	1.194045	0.059985	-0.211457	1.192938	0.095445	0.055247	1.287606	0.034738	0.016517	1.230516	0.083322	0.018354	1.282882	0.058887	0.070084	1.236897	0.048041	-0.005270	1.318362	0.003194	0.018184	1.113924	0.031778	-0.174451	1.288181	0.029246	0.010062	1.252906	0.077228	
4	-0.068146	1.389058	-0.074178	-0.108182	1.224377	-0.127990	-0.235974	1.027792	0.032600	-0.192923	1.014905	-0.001256	-0.239446	0.805839	0.066032	-0.193505	0.810800	0.091513	-0.207487	1.308485	0.021956	-0.256006	0.859210	0.086909	-0.254652	0.805858	0.098223	-0.231510	0.809921	0.113440	-0.218261	0.865843	0.110667	-0.212778	1.118876	0.095590	-0.255161	1.130882	0.054720	-0.258179	1.194294	0.060652	-0.210989	1.193060	0.095889	0.055395	1.287630	0.033364	0.016980	1.230571	0.082347	0.018618	1.283019	0.057865	0.070333	1.237010	0.046628	-0.005298	1.318410	0.002345	0.018217	1.113960	0.030796	-0.174319	1.288346	0.029674	0.010478	1.252944	0.076216	
5	-0.068630	1.389144	-0.074594	-0.109204	1.224495	-0.128099	-0.235879	1.028013	0.032943	-0.193019	1.015165	-0.001168	-0.238831	0.805941	0.065910	-0.192831	0.810946	0.091275	-0.207317	1.308692	0.022580	-0.255343	0.859318	0.086936	-0.253937	0.805992	0.098187	-0.230698	0.810035	0.113414	-0.217498	0.865979	0.110450	-0.212191	1.119071	0.096257	-0.254837	1.131167	0.055475	-0.257818	1.194560	0.061616	-0.210273	1.193250	0.096452	0.055547	1.287711	0.031983	0.017542	1.230717	0.081252	0.018991	1.283106	0.056663	0.070552	1.237099	0.045120	-0.005271	1.318446	0.001461	0.018283	1.113977	0.029744	-0.174098	1.288539	0.030161	0.010894	1.253217	0.075268	
6	-0.069079	1.389232	-0.074998	-0.110241	1.224626	-0.128187	-0.235766	1.028276	0.033459	-0.193152	1.015452	-0.000969	-0.238216	0.806097	0.066011	-0.192133	0.811147	0.091215	-0.207073	1.308914	0.023268	-0.254687	0.859455	0.087125	-0.253113	0.806147	0.098364	-0.229880	0.810199	0.113487	-0.216664	0.866191	0.110469	-0.211441	1.119197	0.096764	-0.254428	1.131457	0.056414	-0.257304	1.194862	0.062717	-0.209494	1.193434	0.097062	0.055689	1.287704	0.030466	0.018020	1.230968	0.080148	0.019374	1.283150	0.055503	0.070759	1.237045	0.043727	-0.005191	1.318466	0.000550	0.018381	1.113973	0.028637	-0.173789	1.288756	0.030703	0.011507	1.253355	0.074174	
7	-0.069491	1.389306	-0.075391	-0.111285	1.224752	-0.128243	-0.235632	1.028577	0.034151	-0.193320	1.015763	-0.000650	-0.237612	0.806307	0.066347	-0.191421	0.811397	0.091345	-0.206757	1.309144	0.024014	-0.254042	0.859639	0.087545	-0.252408	0.806304	0.098732	-0.229158	0.810364	0.113728	-0.215967	0.866420	0.110724	-0.210542	1.119404	0.097268	-0.253954	1.131739	0.057496	-0.256713	1.195153	0.063866	-0.208554	1.193637	0.097842	0.056477	1.287405	0.028981	0.018777	1.230985	0.078866	0.019946	1.283290	0.054252	0.071138	1.236984	0.042021	-0.005060	1.318462	-0.000380	0.018506	1.113940	0.027501	-0.173395	1.288994	0.031295	0.012245	1.253327	0.072935	
8	-0.069863	1.389381	-0.075753	-0.112332	1.224890	-0.128263	-0.235479	1.028913	0.035019	-0.193521	1.016092	-0.000206	-0.237039	0.806571	0.066927	-0.190710	0.811693	0.091661	-0.206372	1.309389	0.024825	-0.253414	0.859877	0.088219	-0.251638	0.806462	0.099353	-0.228160	0.810555	0.114148	-0.215243	0.866688	0.111244	-0.209576	1.119595	0.097991	-0.253344	1.132055	0.058718	-0.256062	1.195461	0.065209	-0.207555	1.193824	0.098632	0.056348	1.287784	0.027467	0.019466	1.231016	0.077646	0.020453	1.283160	0.053116	0.071673	1.236987	0.040322	-0.004881	1.318441	-0.001311	0.018653	1.113884	0.026340	-0.172918	1.289250	0.031935	0.012877	1.253373	0.071818	
9	-0.070195	1.389437	-0.076092	-0.113376	1.225013	-0.128233	-0.235307	1.029281	0.036060	-0.193751	1.016436	0.000369	-0.236495	0.806886	0.067757	-0.190001	0.812031	0.092175	-0.205921	1.309640	0.025693	-0.252777	0.860155	0.089135	-0.250966	0.806693	0.100270	-0.227248	0.810775	0.114716	-0.214543	0.866938	0.112010	-0.208554	1.119821	0.098849	-0.252753	1.132336	0.059987	-0.255325	1.195764	0.066565	-0.206475	1.194060	0.099464	0.056911	1.287530	0.025877	0.020244	1.230905	0.076439	0.021210	1.283119	0.051811	0.072011	1.236819	0.038669	-0.004658	1.318394	-0.002237	0.018816	1.113799	0.025188	-0.172366	1.289522	0.032616	0.013561	1.253282	0.070691	
