Mhairi	// User ID
20-6-2024	// Evaluation date
P17_CP	10-6-2024	14:46:31:577	// Source file name and timestamp
100.000	// Sampling rate
56.727	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	
0	0.970178	-0.222748	0.066817	0.068357	0.079948	-0.573795	0.022912	0.814765	-0.069843	-0.248121	0.132533	0.957075	
1	0.970168	-0.222814	0.066789	0.068314	0.079878	-0.573930	0.022866	0.814679	-0.070457	-0.251781	0.132678	0.956054	
2	0.970159	-0.222876	0.066764	0.068268	0.079808	-0.574073	0.022820	0.814586	-0.071119	-0.255533	0.132828	0.954988	
3	0.970150	-0.222937	0.066740	0.068222	0.079740	-0.574223	0.022776	0.814488	-0.071826	-0.259362	0.132980	0.953881	
4	0.970142	-0.222995	0.066713	0.068176	0.079675	-0.574376	0.022732	0.814388	-0.072575	-0.263259	0.133131	0.952735	
5	0.970134	-0.223052	0.066679	0.068132	0.079613	-0.574526	0.022690	0.814289	-0.073363	-0.267222	0.133270	0.951551	
6	0.970127	-0.223109	0.066636	0.068091	0.079557	-0.574673	0.022649	0.814192	-0.074189	-0.271257	0.133392	0.950327	
7	0.970120	-0.223167	0.066579	0.068054	0.079509	-0.574813	0.022609	0.814099	-0.075055	-0.275375	0.133487	0.949061	
8	0.970114	-0.223225	0.066508	0.068023	0.079469	-0.574946	0.022567	0.814010	-0.075961	-0.279588	0.133550	0.947747	
9	0.970108	-0.223284	0.066419	0.067997	0.079439	-0.575072	0.022524	0.813925	-0.076909	-0.283911	0.133569	0.946382	
10	0.970102	-0.223345	0.066312	0.067977	0.079420	-0.575191	0.022477	0.813844	-0.077902	-0.288357	0.133537	0.944960	
11	0.970098	-0.223407	0.066188	0.067963	0.079412	-0.575306	0.022426	0.813765	-0.078942	-0.292935	0.133452	0.943477	
12	0.970093	-0.223469	0.066046	0.067956	0.079417	-0.575419	0.022369	0.813686	-0.080030	-0.297648	0.133309	0.941928	
13	0.970090	-0.223532	0.065889	0.067955	0.079434	-0.575534	0.022306	0.813605	-0.081169	-0.302492	0.133106	0.940315	
14	0.970087	-0.223595	0.065719	0.067958	0.079462	-0.575653	0.022237	0.813520	-0.082356	-0.307454	0.132842	0.938638	
15	0.970084	-0.223657	0.065538	0.067966	0.079502	-0.575782	0.022163	0.813427	-0.083593	-0.312514	0.132523	0.936902	
16	0.970082	-0.223717	0.065351	0.067977	0.079552	-0.575921	0.022084	0.813326	-0.084876	-0.317640	0.132153	0.935113	
17	0.970080	-0.223775	0.065161	0.067989	0.079611	-0.576073	0.022001	0.813214	-0.086200	-0.322796	0.131734	0.933284	
18	0.970079	-0.223831	0.064971	0.068002	0.079678	-0.576239	0.021916	0.813092	-0.087560	-0.327940	0.131274	0.931427	
19	0.970079	-0.223884	0.064785	0.068013	0.079754	-0.576419	0.021830	0.812960	-0.088949	-0.333028	0.130779	0.929558	
20	0.970079	-0.223933	0.064606	0.068022	0.079838	-0.576610	0.021744	0.812818	-0.090360	-0.338015	0.130254	0.927693	
21	0.970079	-0.223980	0.064436	0.068027	0.079929	-0.576810	0.021660	0.812670	-0.091786	-0.342859	0.129701	0.925851	
22	0.970080	-0.224023	0.064277	0.068027	0.080030	-0.577014	0.021579	0.812517	-0.093219	-0.347526	0.129122	0.924047	
23	0.970081	-0.224062	0.064131	0.068021	0.080140	-0.577217	0.021499	0.812364	-0.094653	-0.351989	0.128519	0.922295	
24	0.970082	-0.224099	0.063998	0.068008	0.080262	-0.577414	0.021421	0.812215	-0.096081	-0.356231	0.127886	0.920605	
25	0.970083	-0.224133	0.063878	0.067987	0.080398	-0.577597	0.021344	0.812073	-0.097500	-0.360245	0.127219	0.918984	
26	0.970085	-0.224164	0.063771	0.067960	0.080548	-0.577762	0.021266	0.811943	-0.098907	-0.364041	0.126512	0.917435	
27	0.970087	-0.224192	0.063675	0.067926	0.080717	-0.577903	0.021184	0.811828	-0.100299	-0.367637	0.125759	0.915952	
28	0.970090	-0.224218	0.063589	0.067886	0.080904	-0.578016	0.021096	0.811731	-0.101676	-0.371060	0.124949	0.914530	
29	0.970093	-0.224241	0.063512	0.067840	0.081112	-0.578096	0.020998	0.811655	-0.103038	-0.374347	0.124075	0.913156	
30	0.970096	-0.224261	0.063442	0.067791	0.081342	-0.578143	0.020887	0.811602	-0.104386	-0.377542	0.123132	0.911814	
31	0.970100	-0.224277	0.063378	0.067740	0.081594	-0.578156	0.020760	0.811571	-0.105721	-0.380690	0.122116	0.910487	
32	0.970105	-0.224289	0.063319	0.067689	0.081867	-0.578136	0.020615	0.811562	-0.107043	-0.383834	0.121024	0.909157	
