Mhairi	// User ID
20-6-2024	// Evaluation date
P18_JA_slow	14-6-2024	15:30:32:601	// Source file name and timestamp
100.000	// Sampling rate
108.376	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	
0	0.953884	-0.204247	0.183901	0.120700	0.088001	-0.376606	-0.038281	0.921389	-0.089446	-0.401940	0.120326	0.903308	
1	0.953840	-0.203861	0.184496	0.120792	0.088298	-0.375813	-0.038466	0.921677	-0.088847	-0.401388	0.119928	0.903665	
2	0.953790	-0.203483	0.185113	0.120880	0.088591	-0.375004	-0.038642	0.921971	-0.088257	-0.400820	0.119543	0.904026	
3	0.953734	-0.203115	0.185753	0.120962	0.088877	-0.374186	-0.038807	0.922269	-0.087689	-0.400240	0.119175	0.904387	
4	0.953671	-0.202760	0.186414	0.121037	0.089160	-0.373367	-0.038957	0.922567	-0.087156	-0.399650	0.118831	0.904745	
5	0.953600	-0.202422	0.187097	0.121105	0.089435	-0.372553	-0.039092	0.922864	-0.086664	-0.399049	0.118515	0.905098	
6	0.953522	-0.202102	0.187801	0.121165	0.089699	-0.371753	-0.039210	0.923156	-0.086215	-0.398439	0.118232	0.905447	
7	0.953437	-0.201801	0.188524	0.121216	0.089953	-0.370968	-0.039308	0.923443	-0.085817	-0.397818	0.117983	0.905791	
8	0.953344	-0.201521	0.189265	0.121259	0.090197	-0.370198	-0.039385	0.923724	-0.085480	-0.397184	0.117772	0.906128	
9	0.953244	-0.201261	0.190021	0.121294	0.090429	-0.369447	-0.039440	0.924000	-0.085202	-0.396535	0.117599	0.906461	
10	0.953137	-0.201022	0.190790	0.121321	0.090649	-0.368714	-0.039473	0.924270	-0.084983	-0.395869	0.117465	0.906790	
11	0.953025	-0.200804	0.191568	0.121340	0.090857	-0.367998	-0.039482	0.924534	-0.084827	-0.395185	0.117370	0.907115	
12	0.952907	-0.200606	0.192352	0.121353	0.091057	-0.367295	-0.039468	0.924795	-0.084736	-0.394480	0.117314	0.907437	
13	0.952784	-0.200427	0.193139	0.121359	0.091247	-0.366605	-0.039430	0.925051	-0.084707	-0.393755	0.117297	0.907757	
14	0.952658	-0.200268	0.193926	0.121359	0.091427	-0.365925	-0.039370	0.925305	-0.084732	-0.393007	0.117317	0.908076	
15	0.952529	-0.200128	0.194708	0.121353	0.091600	-0.365253	-0.039287	0.925557	-0.084814	-0.392239	0.117374	0.908393	
16	0.952396	-0.200007	0.195485	0.121342	0.091768	-0.364582	-0.039180	0.925810	-0.084951	-0.391452	0.117468	0.908708	
17	0.952262	-0.199905	0.196254	0.121326	0.091929	-0.363914	-0.039051	0.926062	-0.085135	-0.390647	0.117597	0.909020	
18	0.952125	-0.199823	0.197013	0.121305	0.092083	-0.363246	-0.038899	0.926315	-0.085357	-0.389829	0.117760	0.909329	
19	0.951986	-0.199761	0.197761	0.121279	0.092232	-0.362572	-0.038723	0.926572	-0.085619	-0.389000	0.117958	0.909634	
20	0.951845	-0.199719	0.198500	0.121247	0.092375	-0.361891	-0.038522	0.926832	-0.085917	-0.388163	0.118188	0.909934	
21	0.951702	-0.199699	0.199228	0.121209	0.092510	-0.361201	-0.038295	0.927097	-0.086239	-0.387324	0.118450	0.910227	
22	0.951556	-0.199702	0.199948	0.121165	0.092634	-0.360500	-0.038041	0.927368	-0.086581	-0.386483	0.118743	0.910513	
23	0.951407	-0.199727	0.200661	0.121114	0.092750	-0.359784	-0.037757	0.927646	-0.086944	-0.385646	0.119066	0.910791	
24	0.951255	-0.199774	0.201369	0.121057	0.092856	-0.359049	-0.037442	0.927933	-0.087323	-0.384815	0.119416	0.911061	
25	0.951099	-0.199846	0.202072	0.120993	0.092948	-0.358298	-0.037095	0.928228	-0.087709	-0.383991	0.119792	0.911322	
26	0.950939	-0.199940	0.202774	0.120923	0.093025	-0.357529	-0.036715	0.928532	-0.088102	-0.383176	0.120192	0.911575	
27	0.950774	-0.200056	0.203475	0.120847	0.093089	-0.356738	-0.036302	0.928846	-0.088503	-0.382369	0.120615	0.911818	
28	0.950605	-0.200195	0.204177	0.120766	0.093139	-0.355927	-0.035855	0.929169	-0.088910	-0.381573	0.121057	0.912054	
29	0.950431	-0.200355	0.204879	0.120681	0.093172	-0.355100	-0.035377	0.929501	-0.089318	-0.380784	0.121517	0.912282	
30	0.950252	-0.200535	0.205581	0.120593	0.093190	-0.354258	-0.034868	0.929839	-0.089729	-0.380004	0.121993	0.912504	
31	0.950070	-0.200735	0.206282	0.120502	0.093197	-0.353404	-0.034331	0.930184	-0.090147	-0.379231	0.122482	0.912719	
32	0.949884	-0.200952	0.206979	0.120411	0.093192	-0.352543	-0.033769	0.930531	-0.090572	-0.378464	0.122982	0.912928	
33	0.949694	-0.201187	0.207672	0.120319	0.093175	-0.351685	-0.033187	0.930878	-0.091000	-0.377704	0.123491	0.913131	
34	0.949503	-0.201438	0.208355	0.120229	0.093149	-0.350836	-0.032588	0.931223	-0.091434	-0.376949	0.124009	0.913330	
35	0.949310	-0.201705	0.209027	0.120139	0.093118	-0.350001	-0.031978	0.931561	-0.091881	-0.376202	0.124532	0.913522	
36	0.949116	-0.201987	0.209684	0.120051	0.093083	-0.349191	-0.031361	0.931889	-0.092337	-0.375462	0.125061	0.913708	
37	0.948923	-0.202284	0.210323	0.119964	0.093044	-0.348418	-0.030743	0.932203	-0.092798	-0.374734	0.125594	0.913887	
38	0.948730	-0.202596	0.210940	0.119877	0.093003	-0.347688	-0.030128	0.932500	-0.093269	-0.374019	0.126130	0.914058	
39	0.948539	-0.202923	0.211533	0.119790	0.092963	-0.347007	-0.029519	0.932777	-0.093752	-0.373321	0.126667	0.914220	
40	0.948350	-0.203265	0.212101	0.119701	0.092924	-0.346385	-0.028921	0.933031	-0.094242	-0.372644	0.127205	0.914371	
41	0.948164	-0.203624	0.212642	0.119610	0.092884	-0.345828	-0.028337	0.933259	-0.094733	-0.371992	0.127742	0.914510	
42	0.947980	-0.203997	0.213156	0.119514	0.092845	-0.345340	-0.027769	0.933461	-0.095227	-0.371370	0.128278	0.914637	
43	0.947799	-0.204386	0.213644	0.119412	0.092808	-0.344920	-0.027217	0.933636	-0.095725	-0.370779	0.128809	0.914750	
44	0.947621	-0.204789	0.214108	0.119304	0.092769	-0.344571	-0.026683	0.933784	-0.096218	-0.370223	0.129334	0.914850	
45	0.947445	-0.205206	0.214550	0.119189	0.092728	-0.344291	-0.026167	0.933906	-0.096700	-0.369703	0.129851	0.914936	
46	0.947272	-0.205635	0.214973	0.119066	0.092685	-0.344074	-0.025667	0.934004	-0.097172	-0.369220	0.130357	0.915009	
47	0.947100	-0.206074	0.215381	0.118935	0.092640	-0.343914	-0.025183	0.934081	-0.097632	-0.368773	0.130848	0.915070	
