Mhairi	// User ID
20-6-2024	// Evaluation date
P19_JA_Slow	14-6-2024	16:18:13:477	// Source file name and timestamp
100.000	// Sampling rate
106.682	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.163552	0.195524	-0.074517	-0.964089	0.044166	-0.291929	0.028299	0.955000	0.922304	-0.211232	0.310495	0.091268	
1	0.163587	0.195652	-0.074619	-0.964050	0.044142	-0.291882	0.028329	0.955015	0.922307	-0.211269	0.310463	0.091254	
2	0.163614	0.195729	-0.074750	-0.964019	0.044107	-0.291828	0.028372	0.955032	0.922323	-0.211280	0.310416	0.091235	
3	0.163637	0.195762	-0.074901	-0.963997	0.044060	-0.291773	0.028427	0.955049	0.922348	-0.211267	0.310355	0.091212	
4	0.163647	0.195775	-0.075064	-0.963980	0.044005	-0.291722	0.028492	0.955065	0.922380	-0.211243	0.310283	0.091191	
5	0.163671	0.195769	-0.075226	-0.963964	0.043945	-0.291687	0.028568	0.955077	0.922421	-0.211202	0.310195	0.091173	
6	0.163690	0.195777	-0.075374	-0.963948	0.043883	-0.291669	0.028654	0.955082	0.922463	-0.211161	0.310100	0.091161	
7	0.163721	0.195810	-0.075497	-0.963926	0.043822	-0.291681	0.028749	0.955079	0.922509	-0.211122	0.309994	0.091155	
8	0.163766	0.195888	-0.075584	-0.963896	0.043765	-0.291730	0.028853	0.955063	0.922554	-0.211093	0.309878	0.091155	
9	0.163812	0.196040	-0.075628	-0.963854	0.043715	-0.291820	0.028964	0.955035	0.922596	-0.211086	0.309758	0.091159	
10	0.163882	0.196266	-0.075622	-0.963796	0.043673	-0.291963	0.029085	0.954989	0.922637	-0.211097	0.309627	0.091164	
11	0.163951	0.196595	-0.075567	-0.963722	0.043641	-0.292159	0.029211	0.954927	0.922671	-0.211142	0.309492	0.091166	
12	0.164028	0.197026	-0.075467	-0.963629	0.043619	-0.292416	0.029344	0.954845	0.922703	-0.211218	0.309347	0.091161	
13	0.164109	0.197562	-0.075329	-0.963516	0.043605	-0.292736	0.029483	0.954743	0.922733	-0.211324	0.309191	0.091144	
14	0.164175	0.198209	-0.075166	-0.963385	0.043599	-0.293116	0.029625	0.954623	0.922759	-0.211466	0.309026	0.091113	
15	0.164241	0.198946	-0.074991	-0.963235	0.043599	-0.293561	0.029772	0.954481	0.922787	-0.211633	0.308844	0.091061	
16	0.164279	0.199775	-0.074825	-0.963070	0.043602	-0.294063	0.029920	0.954322	0.922814	-0.211829	0.308649	0.090990	
17	0.164294	0.200672	-0.074682	-0.962892	0.043606	-0.294619	0.030068	0.954146	0.922846	-0.212042	0.308435	0.090896	
18	0.164282	0.201618	-0.074583	-0.962704	0.043610	-0.295223	0.030216	0.953954	0.922883	-0.212265	0.308203	0.090781	
19	0.164224	0.202604	-0.074542	-0.962510	0.043611	-0.295865	0.030361	0.953751	0.922925	-0.212498	0.307955	0.090647	
20	0.164138	0.203597	-0.074572	-0.962313	0.043608	-0.296539	0.030504	0.953537	0.922978	-0.212722	0.307687	0.090499	
21	0.164000	0.204595	-0.074684	-0.962116	0.043601	-0.297233	0.030640	0.953317	0.923036	-0.212939	0.307406	0.090342	
22	0.163825	0.205574	-0.074879	-0.961922	0.043591	-0.297938	0.030771	0.953093	0.923104	-0.213138	0.307113	0.090182	
23	0.163613	0.206525	-0.075155	-0.961733	0.043578	-0.298644	0.030894	0.952869	0.923180	-0.213311	0.306810	0.090025	
24	0.163356	0.207449	-0.075508	-0.961550	0.043564	-0.299339	0.031007	0.952647	0.923260	-0.213461	0.306508	0.089879	
25	0.163080	0.208332	-0.075923	-0.961373	0.043552	-0.300018	0.031111	0.952431	0.923348	-0.213574	0.306203	0.089749	
26	0.162770	0.209188	-0.076385	-0.961203	0.043544	-0.300670	0.031203	0.952223	0.923437	-0.213658	0.305908	0.089640	
27	0.162447	0.210013	-0.076873	-0.961039	0.043542	-0.301290	0.031283	0.952024	0.923527	-0.213707	0.305625	0.089555	
28	0.162120	0.210815	-0.077364	-0.960879	0.043550	-0.301873	0.031350	0.951837	0.923618	-0.213722	0.305358	0.089495	
29	0.161782	0.211610	-0.077839	-0.960723	0.043569	-0.302413	0.031403	0.951663	0.923704	-0.213713	0.305115	0.089460	
30	0.161462	0.212391	-0.078272	-0.960569	0.043601	-0.302912	0.031443	0.951501	0.923788	-0.213671	0.304892	0.089447	
31	0.161147	0.213177	-0.078647	-0.960417	0.043647	-0.303364	0.031466	0.951354	0.923866	-0.213613	0.304696	0.089451	
32	0.160854	0.213964	-0.078948	-0.960267	0.043708	-0.303773	0.031475	0.951221	0.923940	-0.213536	0.304523	0.089465	
33	0.160588	0.214750	-0.079162	-0.960118	0.043783	-0.304140	0.031469	0.951100	0.924009	-0.213445	0.304371	0.089482	
34	0.160337	0.215540	-0.079287	-0.959973	0.043870	-0.304465	0.031446	0.950993	0.924072	-0.213351	0.304242	0.089493	
35	0.160126	0.216312	-0.079320	-0.959832	0.043968	-0.304755	0.031410	0.950897	0.924135	-0.213248	0.304123	0.089490	
36	0.159931	0.217067	-0.079267	-0.959698	0.044073	-0.305011	0.031359	0.950812	0.924195	-0.213149	0.304018	0.089464	
37	0.159766	0.217783	-0.079140	-0.959574	0.044182	-0.305238	0.031296	0.950736	0.924257	-0.213051	0.303915	0.089410	
38	0.159627	0.218444	-0.078950	-0.959463	0.044291	-0.305440	0.031221	0.950668	0.924322	-0.212956	0.303810	0.089323	
39	0.159498	0.219044	-0.078718	-0.959366	0.044398	-0.305619	0.031135	0.950608	0.924389	-0.212870	0.303700	0.089200	
40	0.159398	0.219553	-0.078460	-0.959288	0.044498	-0.305784	0.031042	0.950554	0.924466	-0.212785	0.303575	0.089041	
41	0.159302	0.219975	-0.078197	-0.959228	0.044589	-0.305933	0.030942	0.950505	0.924546	-0.212710	0.303437	0.088850	
42	0.159220	0.220294	-0.077947	-0.959189	0.044667	-0.306073	0.030838	0.950460	0.924635	-0.212637	0.303281	0.088631	
43	0.159151	0.220508	-0.077725	-0.959169	0.044731	-0.306206	0.030733	0.950417	0.924732	-0.212566	0.303105	0.088392	
44	0.159079	0.220629	-0.077546	-0.959168	0.044780	-0.306332	0.030628	0.950377	0.924833	-0.212501	0.302916	0.088145	
45	0.159027	0.220653	-0.077417	-0.959182	0.044812	-0.306458	0.030526	0.950339	0.924940	-0.212432	0.302709	0.087898	
46	0.158973	0.220608	-0.077346	-0.959207	0.044828	-0.306581	0.030427	0.950301	0.925046	-0.212368	0.302496	0.087665	
47	0.158931	0.220505	-0.077332	-0.959238	0.044828	-0.306704	0.030334	0.950265	0.925152	-0.212303	0.302278	0.087457	
48	0.158905	0.220367	-0.077373	-0.959271	0.044814	-0.306828	0.030248	0.950228	0.925255	-0.212236	0.302062	0.087285	
49	0.158883	0.220227	-0.077464	-0.959300	0.044788	-0.306949	0.030168	0.950193	0.925347	-0.212175	0.301859	0.087160	
50	0.158890	0.220094	-0.077594	-0.959318	0.044751	-0.307072	0.030096	0.950157	0.925430	-0.212111	0.301669	0.087087	
51	0.158906	0.220006	-0.077754	-0.959323	0.044706	-0.307190	0.030029	0.950123	0.925497	-0.212056	0.301507	0.087074	
52	0.158947	0.219971	-0.077932	-0.959310	0.044656	-0.307303	0.029969	0.950091	0.925547	-0.212004	0.301374	0.087122	
53	0.159015	0.220003	-0.078117	-0.959276	0.044602	-0.307410	0.029914	0.950060	0.925580	-0.211958	0.301275	0.087230	
54	0.159096	0.220118	-0.078299	-0.959222	0.044545	-0.307505	0.029861	0.950034	0.925590	-0.211925	0.301219	0.087396	
55	0.159212	0.220300	-0.078470	-0.959146	0.044489	-0.307588	0.029811	0.950011	0.925583	-0.211896	0.301199	0.087611	
56	0.159339	0.220557	-0.078623	-0.959054	0.044434	-0.307652	0.029761	0.949995	0.925554	-0.211881	0.301223	0.087869	
57	0.159487	0.220865	-0.078754	-0.958947	0.044380	-0.307694	0.029709	0.949985	0.925508	-0.211873	0.301285	0.088160	
58	0.159654	0.221205	-0.078861	-0.958833	0.044329	-0.307713	0.029656	0.949983	0.925447	-0.211871	0.301382	0.088470	
59	0.159821	0.221560	-0.078945	-0.958716	0.044281	-0.307702	0.029598	0.949991	0.925372	-0.211880	0.301513	0.088791	
60	0.160005	0.221888	-0.079006	-0.958604	0.044235	-0.307662	0.029538	0.950008	0.925290	-0.211885	0.301666	0.089108	
61	0.160179	0.222176	-0.079051	-0.958505	0.044190	-0.307587	0.029473	0.950036	0.925202	-0.211894	0.301841	0.089413	
62	0.160351	0.222388	-0.079081	-0.958424	0.044147	-0.307479	0.029406	0.950075	0.925113	-0.211898	0.302028	0.089695	
63	0.160518	0.222500	-0.079099	-0.958369	0.044105	-0.307338	0.029335	0.950125	0.925027	-0.211892	0.302219	0.089947	
64	0.160661	0.222501	-0.079110	-0.958344	0.044063	-0.307162	0.029263	0.950186	0.924946	-0.211879	0.302413	0.090164	
65	0.160800	0.222366	-0.079115	-0.958351	0.044021	-0.306957	0.029191	0.950257	0.924875	-0.211846	0.302597	0.090343	
66	0.160910	0.222104	-0.079113	-0.958394	0.043977	-0.306722	0.029118	0.950337	0.924814	-0.211801	0.302774	0.090482	
67	0.161005	0.221707	-0.079104	-0.958470	0.043933	-0.306463	0.029048	0.950425	0.924766	-0.211736	0.302937	0.090584	
68	0.161086	0.221187	-0.079083	-0.958579	0.043888	-0.306184	0.028982	0.950519	0.924731	-0.211650	0.303082	0.090650	
69	0.161142	0.220570	-0.079046	-0.958715	0.043842	-0.305887	0.028919	0.950618	0.924707	-0.211551	0.303215	0.090687	
70	0.161196	0.219863	-0.078984	-0.958873	0.043797	-0.305582	0.028861	0.950720	0.924696	-0.211431	0.303327	0.090698	
71	0.161232	0.219109	-0.078893	-0.959047	0.043752	-0.305269	0.028808	0.950824	0.924694	-0.211301	0.303428	0.090692	
72	0.161269	0.218330	-0.078763	-0.959229	0.043709	-0.304955	0.028759	0.950929	0.924699	-0.211160	0.303515	0.090673	
73	0.161310	0.217557	-0.078588	-0.959412	0.043669	-0.304643	0.028716	0.951031	0.924711	-0.211012	0.303589	0.090649	
74	0.161349	0.216829	-0.078363	-0.959589	0.043633	-0.304336	0.028674	0.951133	0.924723	-0.210866	0.303660	0.090626	
75	0.161412	0.216161	-0.078082	-0.959752	0.043601	-0.304039	0.028637	0.951230	0.924739	-0.210719	0.303721	0.090607	
76	0.161481	0.215591	-0.077745	-0.959896	0.043575	-0.303750	0.028600	0.951325	0.924750	-0.210584	0.303783	0.090598	
77	0.161574	0.215129	-0.077352	-0.960015	0.043555	-0.303473	0.028564	0.951415	0.924758	-0.210460	0.303843	0.090601	
78	0.161693	0.214789	-0.076909	-0.960107	0.043542	-0.303209	0.028527	0.951501	0.924762	-0.210348	0.303903	0.090617	
79	0.161824	0.214586	-0.076423	-0.960169	0.043535	-0.302956	0.028488	0.951583	0.924757	-0.210260	0.303969	0.090649	
80	0.161990	0.214506	-0.075904	-0.960201	0.043535	-0.302717	0.028449	0.951660	0.924748	-0.210185	0.304034	0.090696	
81	0.162164	0.214560	-0.075366	-0.960202	0.043539	-0.302490	0.028407	0.951734	0.924730	-0.210135	0.304107	0.090758	
82	0.162357	0.214728	-0.074824	-0.960174	0.043549	-0.302277	0.028363	0.951802	0.924705	-0.210105	0.304182	0.090834	
83	0.162562	0.214996	-0.074295	-0.960120	0.043562	-0.302079	0.028320	0.951866	0.924673	-0.210092	0.304261	0.090922	
84	0.162760	0.215357	-0.073796	-0.960044	0.043577	-0.301895	0.028276	0.951925	0.924632	-0.210104	0.304348	0.091023	
85	0.162965	0.215777	-0.073345	-0.959950	0.043594	-0.301730	0.028236	0.951978	0.924586	-0.210127	0.304437	0.091134	
86	0.163147	0.216252	-0.072957	-0.959841	0.043608	-0.301582	0.028199	0.952025	0.924531	-0.210172	0.304537	0.091255	
87	0.163312	0.216753	-0.072646	-0.959724	0.043621	-0.301456	0.028168	0.952065	0.924470	-0.210230	0.304645	0.091385	
88	0.163452	0.217263	-0.072421	-0.959602	0.043631	-0.301353	0.028145	0.952098	0.924401	-0.210300	0.304763	0.091523	
89	0.163547	0.217776	-0.072291	-0.959479	0.043635	-0.301274	0.028129	0.952123	0.924321	-0.210388	0.304900	0.091669	
90	0.163616	0.218264	-0.072256	-0.959359	0.043635	-0.301223	0.028126	0.952140	0.924235	-0.210482	0.305050	0.091822	
91	0.163633	0.218729	-0.072317	-0.959246	0.043630	-0.301195	0.028132	0.952149	0.924136	-0.210593	0.305225	0.091980	
92	0.163610	0.219154	-0.072466	-0.959141	0.043619	-0.301191	0.028151	0.952150	0.924027	-0.210714	0.305424	0.092144	
93	0.163548	0.219533	-0.072694	-0.959048	0.043604	-0.301208	0.028181	0.952144	0.923906	-0.210844	0.305649	0.092311	
94	0.163437	0.219870	-0.072986	-0.958968	0.043585	-0.301239	0.028221	0.952134	0.923770	-0.210989	0.305907	0.092479	
95	0.163303	0.220148	-0.073324	-0.958901	0.043565	-0.301280	0.028272	0.952120	0.923625	-0.211137	0.306192	0.092647	
96	0.163133	0.220378	-0.073690	-0.958849	0.043543	-0.301319	0.028330	0.952107	0.923466	-0.211297	0.306512	0.092811	
