Mhairi	// User ID
20-6-2024	// Evaluation date
P20_JA_Fast	18-6-2024	11:07:44:109	// Source file name and timestamp
100.000	// Sampling rate
65.438	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	
0	0.961913	-0.205220	0.150633	0.099588	0.041984	-0.221436	0.061382	0.972335	-0.074927	-0.226275	0.099005	0.966118	
1	0.961914	-0.205248	0.150580	0.099598	0.041893	-0.221455	0.061402	0.972334	-0.075062	-0.226246	0.099032	0.966111	
2	0.961916	-0.205272	0.150531	0.099608	0.041792	-0.221458	0.061431	0.972335	-0.075196	-0.226214	0.099065	0.966105	
3	0.961917	-0.205293	0.150487	0.099620	0.041683	-0.221445	0.061468	0.972341	-0.075328	-0.226180	0.099104	0.966099	
4	0.961918	-0.205311	0.150448	0.099631	0.041570	-0.221416	0.061513	0.972349	-0.075457	-0.226147	0.099149	0.966092	
5	0.961919	-0.205328	0.150412	0.099644	0.041454	-0.221372	0.061564	0.972361	-0.075581	-0.226116	0.099198	0.966084	
6	0.961919	-0.205344	0.150380	0.099657	0.041337	-0.221321	0.061617	0.972374	-0.075699	-0.226086	0.099247	0.966077	
7	0.961918	-0.205362	0.150349	0.099671	0.041220	-0.221263	0.061672	0.972389	-0.075811	-0.226058	0.099296	0.966070	
8	0.961917	-0.205383	0.150320	0.099688	0.041107	-0.221201	0.061727	0.972404	-0.075915	-0.226034	0.099345	0.966062	
9	0.961914	-0.205409	0.150292	0.099708	0.040999	-0.221136	0.061781	0.972420	-0.076011	-0.226015	0.099393	0.966054	
10	0.961909	-0.205439	0.150265	0.099732	0.040896	-0.221077	0.061832	0.972435	-0.076099	-0.225998	0.099437	0.966046	
11	0.961902	-0.205476	0.150238	0.099762	0.040799	-0.221024	0.061879	0.972448	-0.076178	-0.225986	0.099478	0.966039	
12	0.961894	-0.205517	0.150212	0.099798	0.040710	-0.220977	0.061922	0.972460	-0.076248	-0.225980	0.099517	0.966031	
13	0.961883	-0.205564	0.150188	0.099841	0.040629	-0.220939	0.061959	0.972469	-0.076308	-0.225978	0.099552	0.966023	
14	0.961870	-0.205615	0.150166	0.099892	0.040556	-0.220915	0.061990	0.972476	-0.076357	-0.225979	0.099581	0.966016	
15	0.961855	-0.205669	0.150149	0.099950	0.040491	-0.220903	0.062015	0.972479	-0.076397	-0.225984	0.099605	0.966009	
16	0.961838	-0.205725	0.150136	0.100016	0.040434	-0.220902	0.062035	0.972481	-0.076426	-0.225994	0.099625	0.966002	
17	0.961820	-0.205781	0.150130	0.100088	0.040384	-0.220913	0.062048	0.972480	-0.076443	-0.226009	0.099640	0.965996	
18	0.961800	-0.205835	0.150130	0.100166	0.040341	-0.220938	0.062056	0.972475	-0.076448	-0.226026	0.099647	0.965991	
19	0.961780	-0.205887	0.150136	0.100247	0.040303	-0.220974	0.062057	0.972468	-0.076441	-0.226048	0.099648	0.965986	
20	0.961758	-0.205936	0.150150	0.100332	0.040272	-0.221017	0.062055	0.972460	-0.076421	-0.226076	0.099644	0.965982	
21	0.961737	-0.205981	0.150169	0.100416	0.040245	-0.221068	0.062047	0.972450	-0.076386	-0.226109	0.099634	0.965978	
22	0.961715	-0.206022	0.150193	0.100500	0.040221	-0.221128	0.062034	0.972439	-0.076337	-0.226146	0.099615	0.965975	
23	0.961695	-0.206059	0.150221	0.100581	0.040199	-0.221190	0.062017	0.972426	-0.076272	-0.226191	0.099592	0.965972	
24	0.961675	-0.206092	0.150250	0.100657	0.040180	-0.221254	0.061997	0.972414	-0.076192	-0.226244	0.099563	0.965969	
25	0.961657	-0.206122	0.150277	0.100728	0.040162	-0.221319	0.061972	0.972401	-0.076096	-0.226304	0.099529	0.965966	
26	0.961641	-0.206149	0.150301	0.100792	0.040144	-0.221386	0.061944	0.972389	-0.075985	-0.226370	0.099490	0.965963	
27	0.961626	-0.206175	0.150320	0.100850	0.040126	-0.221451	0.061913	0.972377	-0.075859	-0.226446	0.099448	0.965960	
28	0.961614	-0.206199	0.150331	0.100900	0.040109	-0.221511	0.061879	0.972366	-0.075719	-0.226530	0.099406	0.965955	
29	0.961604	-0.206222	0.150333	0.100944	0.040092	-0.221571	0.061842	0.972355	-0.075567	-0.226621	0.099361	0.965950	
30	0.961597	-0.206243	0.150325	0.100983	0.040075	-0.221630	0.061802	0.972345	-0.075405	-0.226717	0.099316	0.965945	
31	0.961592	-0.206263	0.150306	0.101016	0.040059	-0.221685	0.061761	0.972336	-0.075236	-0.226819	0.099274	0.965939	
32	0.961590	-0.206279	0.150277	0.101045	0.040046	-0.221737	0.061717	0.972327	-0.075062	-0.226926	0.099235	0.965931	
33	0.961591	-0.206292	0.150239	0.101071	0.040034	-0.221790	0.061671	0.972318	-0.074887	-0.227033	0.099197	0.965923	
34	0.961594	-0.206300	0.150193	0.101095	0.040027	-0.221844	0.061624	0.972309	-0.074713	-0.227140	0.099163	0.965915	
35	0.961599	-0.206301	0.150141	0.101117	0.040024	-0.221897	0.061577	0.972301	-0.074544	-0.227246	0.099134	0.965906	
36	0.961607	-0.206294	0.150086	0.101138	0.040027	-0.221949	0.061529	0.972292	-0.074383	-0.227350	0.099109	0.965897	
37	0.961617	-0.206277	0.150030	0.101157	0.040036	-0.222004	0.061481	0.972281	-0.074233	-0.227447	0.099085	0.965888	
38	0.961630	-0.206251	0.149975	0.101175	0.040053	-0.222062	0.061434	0.972271	-0.074095	-0.227539	0.099064	0.965879	
39	0.961644	-0.206213	0.149925	0.101189	0.040078	-0.222118	0.061388	0.972260	-0.073972	-0.227627	0.099045	0.965870	
40	0.961660	-0.206164	0.149881	0.101201	0.040111	-0.222174	0.061344	0.972248	-0.073864	-0.227710	0.099028	0.965860	
41	0.961678	-0.206104	0.149844	0.101207	0.040152	-0.222231	0.061300	0.972236	-0.073773	-0.227786	0.099008	0.965851	
42	0.961697	-0.206035	0.149817	0.101208	0.040200	-0.222288	0.061258	0.972224	-0.073697	-0.227860	0.098986	0.965842	
43	0.961717	-0.205957	0.149799	0.101202	0.040256	-0.222338	0.061218	0.972213	-0.073636	-0.227933	0.098963	0.965831	
44	0.961738	-0.205873	0.149791	0.101188	0.040317	-0.222385	0.061178	0.972202	-0.073589	-0.228008	0.098936	0.965820	
45	0.961759	-0.205785	0.149793	0.101165	0.040384	-0.222427	0.061139	0.972192	-0.073553	-0.228084	0.098902	0.965808	
46	0.961780	-0.205694	0.149803	0.101134	0.040453	-0.222461	0.061099	0.972184	-0.073526	-0.228167	0.098864	0.965795	
47	0.961801	-0.205604	0.149820	0.101095	0.040524	-0.222484	0.061060	0.972178	-0.073506	-0.228258	0.098823	0.965779	
48	0.961821	-0.205516	0.149844	0.101049	0.040595	-0.222497	0.061018	0.972175	-0.073490	-0.228358	0.098775	0.965761	
49	0.961839	-0.205433	0.149874	0.100997	0.040664	-0.222502	0.060974	0.972174	-0.073476	-0.228467	0.098721	0.965742	
50	0.961856	-0.205356	0.149908	0.100942	0.040730	-0.222493	0.060927	0.972176	-0.073462	-0.228587	0.098664	0.965721	
51	0.961871	-0.205287	0.149945	0.100885	0.040791	-0.222471	0.060876	0.972182	-0.073445	-0.228719	0.098603	0.965697	
52	0.961884	-0.205225	0.149987	0.100829	0.040845	-0.222438	0.060821	0.972190	-0.073425	-0.228858	0.098538	0.965672	
53	0.961894	-0.205171	0.150032	0.100777	0.040892	-0.222396	0.060761	0.972202	-0.073399	-0.229002	0.098469	0.965647	
54	0.961900	-0.205125	0.150081	0.100732	0.040930	-0.222342	0.060697	0.972216	-0.073367	-0.229150	0.098399	0.965622	
55	0.961904	-0.205085	0.150136	0.100695	0.040959	-0.222276	0.060628	0.972234	-0.073329	-0.229298	0.098327	0.965597	
56	0.961905	-0.205050	0.150196	0.100670	0.040980	-0.222204	0.060553	0.972255	-0.073285	-0.229440	0.098252	0.965574	
57	0.961902	-0.205018	0.150264	0.100658	0.040991	-0.222126	0.060474	0.972277	-0.073235	-0.229573	0.098174	0.965554	
58	0.961897	-0.204988	0.150340	0.100660	0.040993	-0.222041	0.060392	0.972301	-0.073178	-0.229692	0.098095	0.965538	
59	0.961888	-0.204958	0.150424	0.100677	0.040988	-0.221949	0.060307	0.972328	-0.073117	-0.229795	0.098014	0.965526	
60	0.961877	-0.204927	0.150519	0.100708	0.040976	-0.221855	0.060219	0.972355	-0.073051	-0.229876	0.097928	0.965521	
61	0.961863	-0.204892	0.150624	0.100753	0.040957	-0.221760	0.060128	0.972384	-0.072981	-0.229932	0.097837	0.965522	
62	0.961848	-0.204852	0.150738	0.100810	0.040934	-0.221659	0.060038	0.972413	-0.072907	-0.229964	0.097743	0.965530	
63	0.961831	-0.204808	0.150861	0.100878	0.040908	-0.221556	0.059946	0.972443	-0.072831	-0.229968	0.097644	0.965544	
64	0.961813	-0.204757	0.150992	0.100954	0.040880	-0.221452	0.059855	0.972474	-0.072754	-0.229944	0.097539	0.965567	
65	0.961795	-0.204701	0.151129	0.101037	0.040850	-0.221347	0.059764	0.972505	-0.072674	-0.229893	0.097427	0.965596	
66	0.961777	-0.204638	0.151270	0.101124	0.040822	-0.221237	0.059674	0.972536	-0.072595	-0.229817	0.097311	0.965632	
67	0.961760	-0.204570	0.151413	0.101212	0.040796	-0.221124	0.059584	0.972569	-0.072515	-0.229718	0.097191	0.965673	
68	0.961743	-0.204497	0.151557	0.101299	0.040772	-0.221009	0.059495	0.972601	-0.072437	-0.229596	0.097065	0.965721	
69	0.961728	-0.204419	0.151699	0.101385	0.040751	-0.220892	0.059407	0.972634	-0.072361	-0.229455	0.096935	0.965773	
70	0.961715	-0.204338	0.151837	0.101466	0.040736	-0.220767	0.059320	0.972668	-0.072289	-0.229299	0.096804	0.965829	
71	0.961704	-0.204254	0.151972	0.101543	0.040725	-0.220639	0.059232	0.972703	-0.072222	-0.229129	0.096672	0.965888	
72	0.961694	-0.204168	0.152101	0.101614	0.040719	-0.220508	0.059145	0.972738	-0.072162	-0.228944	0.096539	0.965949	
73	0.961686	-0.204081	0.152226	0.101680	0.040717	-0.220372	0.059057	0.972775	-0.072111	-0.228750	0.096408	0.966012	
74	0.961679	-0.203993	0.152346	0.101740	0.040720	-0.220228	0.058970	0.972812	-0.072072	-0.228549	0.096283	0.966075	
75	0.961673	-0.203905	0.152464	0.101795	0.040727	-0.220081	0.058884	0.972851	-0.072045	-0.228339	0.096163	0.966139	
76	0.961668	-0.203817	0.152580	0.101846	0.040736	-0.219931	0.058797	0.972889	-0.072033	-0.228120	0.096047	0.966203	
77	0.961663	-0.203730	0.152696	0.101893	0.040746	-0.219776	0.058713	0.972929	-0.072038	-0.227895	0.095940	0.966266	
78	0.961658	-0.203643	0.152814	0.101937	0.040758	-0.219614	0.058632	0.972970	-0.072060	-0.227664	0.095844	0.966328	
79	0.961652	-0.203558	0.152936	0.101978	0.040769	-0.219450	0.058554	0.973011	-0.072102	-0.227426	0.095756	0.966390	
80	0.961645	-0.203474	0.153064	0.102018	0.040778	-0.219285	0.058480	0.973053	-0.072163	-0.227181	0.095677	0.966451	
81	0.961637	-0.203392	0.153199	0.102057	0.040784	-0.219116	0.058412	0.973094	-0.072244	-0.226931	0.095609	0.966510	
82	0.961627	-0.203313	0.153340	0.102095	0.040786	-0.218943	0.058352	0.973137	-0.072344	-0.226677	0.095552	0.966568	
83	0.961616	-0.203237	0.153488	0.102133	0.040783	-0.218769	0.058299	0.973179	-0.072461	-0.226418	0.095505	0.966624	
84	0.961603	-0.203164	0.153642	0.102170	0.040774	-0.218595	0.058255	0.973221	-0.072595	-0.226156	0.095466	0.966680	
85	0.961588	-0.203096	0.153800	0.102206	0.040759	-0.218419	0.058222	0.973264	-0.072743	-0.225893	0.095439	0.966733	
86	0.961572	-0.203032	0.153960	0.102242	0.040738	-0.218240	0.058198	0.973306	-0.072903	-0.225631	0.095420	0.966784	
87	0.961555	-0.202974	0.154119	0.102277	0.040710	-0.218063	0.058185	0.973348	-0.073072	-0.225369	0.095409	0.966833	
88	0.961537	-0.202922	0.154274	0.102312	0.040676	-0.217887	0.058181	0.973389	-0.073246	-0.225110	0.095405	0.966881	
89	0.961520	-0.202876	0.154423	0.102346	0.040636	-0.217709	0.058186	0.973430	-0.073425	-0.224856	0.095408	0.966926	
90	0.961502	-0.202837	0.154561	0.102380	0.040591	-0.217531	0.058201	0.973471	-0.073603	-0.224608	0.095419	0.966969	
91	0.961485	-0.202804	0.154687	0.102414	0.040542	-0.217356	0.058223	0.973511	-0.073781	-0.224365	0.095434	0.967010	
92	0.961469	-0.202778	0.154799	0.102449	0.040490	-0.217184	0.058251	0.973549	-0.073954	-0.224128	0.095453	0.967050	
93	0.961454	-0.202758	0.154894	0.102483	0.040436	-0.217012	0.058285	0.973588	-0.074122	-0.223899	0.095478	0.967088	
94	0.961441	-0.202744	0.154974	0.102518	0.040381	-0.216842	0.058323	0.973626	-0.074283	-0.223678	0.095507	0.967124	
95	0.961428	-0.202735	0.155037	0.102554	0.040325	-0.216678	0.058364	0.973662	-0.074438	-0.223462	0.095537	0.967159	
96	0.961418	-0.202732	0.155085	0.102590	0.040270	-0.216518	0.058407	0.973697	-0.074585	-0.223253	0.095571	0.967192	
97	0.961408	-0.202733	0.155120	0.102626	0.040217	-0.216362	0.058453	0.973732	-0.074724	-0.223054	0.095608	0.967224	
98	0.961399	-0.202737	0.155144	0.102663	0.040166	-0.216211	0.058501	0.973764	-0.074858	-0.222863	0.095648	0.967254	
99	0.961391	-0.202745	0.155161	0.102698	0.040116	-0.216069	0.058549	0.973795	-0.074985	-0.222679	0.095689	0.967282	
100	0.961383	-0.202755	0.155174	0.102730	0.040069	-0.215935	0.058600	0.973824	-0.075108	-0.222507	0.095732	0.967308	
101	0.961376	-0.202768	0.155186	0.102760	0.040024	-0.215806	0.058654	0.973851	-0.075227	-0.222348	0.095780	0.967331	
102	0.961368	-0.202783	0.155200	0.102785	0.039981	-0.215686	0.058711	0.973876	-0.075343	-0.222204	0.095829	0.967350	
103	0.961359	-0.202799	0.155219	0.102803	0.039940	-0.215579	0.058773	0.973898	-0.075457	-0.222074	0.095881	0.967366	
104	0.961350	-0.202818	0.155245	0.102814	0.039900	-0.215479	0.058840	0.973917	-0.075568	-0.221963	0.095937	0.967377	
105	0.961339	-0.202840	0.155279	0.102816	0.039861	-0.215387	0.058913	0.973935	-0.075677	-0.221874	0.095999	0.967383	
106	0.961328	-0.202865	0.155323	0.102808	0.039823	-0.215305	0.058994	0.973950	-0.075782	-0.221806	0.096065	0.967383	
