Mhairi	// User ID
25-6-2024	// Evaluation date
P22_JA_slow	24-6-2024	12:12:57:198	// Source file name and timestamp
100.000	// Sampling rate
87.088	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.066663	0.221107	-0.075404	-0.970042	0.011552	-0.218175	0.020494	0.975626	0.908360	-0.282234	0.284593	0.119302	
1	0.065174	0.218941	-0.075217	-0.970649	0.011912	-0.215056	0.020238	0.976319	0.908359	-0.282166	0.284605	0.119440	
2	0.063886	0.217329	-0.075012	-0.971113	0.012267	-0.212318	0.019984	0.976919	0.908365	-0.282082	0.284611	0.119577	
3	0.062794	0.216279	-0.074780	-0.971436	0.012614	-0.209992	0.019740	0.977422	0.908376	-0.281989	0.284612	0.119715	
4	0.061898	0.215775	-0.074519	-0.971626	0.012948	-0.208099	0.019513	0.977827	0.908382	-0.281902	0.284615	0.119864	
5	0.061161	0.215766	-0.074231	-0.971697	0.013270	-0.206627	0.019310	0.978139	0.908386	-0.281825	0.284616	0.120014	
6	0.060571	0.216188	-0.073925	-0.971663	0.013575	-0.205560	0.019131	0.978363	0.908377	-0.281774	0.284625	0.120178	
7	0.060088	0.216959	-0.073612	-0.971545	0.013860	-0.204859	0.018976	0.978509	0.908356	-0.281756	0.284639	0.120352	
8	0.059677	0.217995	-0.073307	-0.971361	0.014123	-0.204474	0.018842	0.978589	0.908317	-0.281778	0.284661	0.120535	
9	0.059313	0.219213	-0.073027	-0.971131	0.014358	-0.204354	0.018718	0.978613	0.908256	-0.281853	0.284699	0.120734	
10	0.058950	0.220536	-0.072787	-0.970871	0.014562	-0.204437	0.018598	0.978595	0.908175	-0.281978	0.284747	0.120936	
11	0.058575	0.221909	-0.072602	-0.970595	0.014727	-0.204672	0.018466	0.978546	0.908070	-0.282160	0.284812	0.121149	
12	0.058158	0.223292	-0.072484	-0.970312	0.014846	-0.205008	0.018310	0.978476	0.907943	-0.282395	0.284891	0.121365	
13	0.057683	0.224669	-0.072441	-0.970025	0.014912	-0.205403	0.018115	0.978396	0.907797	-0.282678	0.284985	0.121577	
14	0.057156	0.226051	-0.072480	-0.969732	0.014915	-0.205831	0.017864	0.978311	0.907632	-0.283004	0.285096	0.121790	
15	0.056561	0.227466	-0.072598	-0.969427	0.014848	-0.206272	0.017547	0.978225	0.907458	-0.283358	0.285215	0.121988	
16	0.055922	0.228965	-0.072792	-0.969097	0.014699	-0.206725	0.017149	0.978138	0.907274	-0.283731	0.285348	0.122177	
17	0.055245	0.230612	-0.073053	-0.968726	0.014462	-0.207196	0.016665	0.978051	0.907090	-0.284106	0.285485	0.122348	
18	0.054549	0.232474	-0.073366	-0.968296	0.014130	-0.207701	0.016089	0.977958	0.906913	-0.284467	0.285624	0.122499	
19	0.053867	0.234626	-0.073716	-0.967789	0.013697	-0.208267	0.015419	0.977855	0.906746	-0.284802	0.285764	0.122635	
20	0.053207	0.237127	-0.074083	-0.967188	0.013161	-0.208915	0.014661	0.977735	0.906599	-0.285090	0.285894	0.122745	
21	0.052608	0.240030	-0.074448	-0.966476	0.012522	-0.209677	0.013820	0.977593	0.906474	-0.285324	0.286017	0.122842	
22	0.052085	0.243362	-0.074791	-0.965644	0.011783	-0.210574	0.012908	0.977422	0.906377	-0.285489	0.286125	0.122922	
23	0.051655	0.247130	-0.075093	-0.964686	0.010952	-0.211620	0.011942	0.977218	0.906312	-0.285576	0.286214	0.122987	
24	0.051345	0.251314	-0.075337	-0.963602	0.010038	-0.212827	0.010935	0.976977	0.906278	-0.285584	0.286287	0.123048	
25	0.051151	0.255862	-0.075510	-0.962401	0.009057	-0.214188	0.009911	0.976700	0.906281	-0.285507	0.286335	0.123099	
26	0.051092	0.260702	-0.075602	-0.961098	0.008025	-0.215691	0.008886	0.976388	0.906313	-0.285352	0.286365	0.123154	
27	0.051165	0.265734	-0.075608	-0.959714	0.006961	-0.217311	0.007881	0.976046	0.906374	-0.285122	0.286374	0.123211	
28	0.051364	0.270845	-0.075525	-0.958280	0.005888	-0.219011	0.006915	0.975680	0.906462	-0.284827	0.286362	0.123272	
29	0.051693	0.275910	-0.075357	-0.956829	0.004827	-0.220753	0.005999	0.975299	0.906568	-0.284483	0.286338	0.123345	
30	0.052128	0.280799	-0.075108	-0.955402	0.003802	-0.222486	0.005152	0.974915	0.906692	-0.284097	0.286297	0.123420	
31	0.052671	0.285390	-0.074788	-0.954036	0.002832	-0.224165	0.004379	0.974537	0.906822	-0.283692	0.286251	0.123508	
32	0.053299	0.289570	-0.074406	-0.952771	0.001937	-0.225740	0.003687	0.974179	0.906954	-0.283279	0.286199	0.123600	
33	0.053996	0.293246	-0.073974	-0.951640	0.001135	-0.227168	0.003080	0.973850	0.907085	-0.282873	0.286145	0.123693	
34	0.054757	0.296350	-0.073505	-0.950671	0.000434	-0.228417	0.002554	0.973560	0.907205	-0.282493	0.286098	0.123791	
35	0.055550	0.298837	-0.073009	-0.949884	0.000154	0.229454	-0.002109	-0.973317	0.907316	-0.282143	0.286055	0.123880	
36	0.056375	0.300694	-0.072501	-0.949288	0.000630	0.230268	-0.001736	-0.973126	0.907407	-0.281841	0.286025	0.123966	
37	0.057210	0.301936	-0.071988	-0.948883	0.000992	0.230851	-0.001428	-0.972988	0.907482	-0.281587	0.286006	0.124040	
38	0.058042	0.302604	-0.071482	-0.948658	0.001247	0.231210	-0.001179	-0.972902	0.907538	-0.281386	0.286000	0.124100	
